municipio,codigo_ibge,parâmetro,uf,Total de testes substâncias em geral para cada linha - incluindo MENOR_LQ,Total de inconsistentes,Total de Consistentes não detectados,Total de parâmetros com MENOR_LQ,Total de Consistentes detectados Abaixo do VMP,Total de Consistentes detectados Acima do VMP,Total_Detectados,prop1,prop2,cnae_724301,cnae_724302,cnae_729403,cnae_729404,cnae_1510600,cnae_1610205,cnae_2019399,cnae_2312500,cnae_2449199,cnae_2610800
AGROLANDIA,420020,Arsênio,SC,16,0,2,12,2,0,2,0.125,0,0,0,0,0,0,0,0,0,0,0
AGUA BOA,310060,Arsênio,MG,4,4,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0
AGUA CLARA,500020,Arsênio,MS,32,0,18,12,2,0,2,0.0625,0,0,0,0,0,1,0,0,0,0,0
AGUA COMPRIDA,310070,Arsênio,MG,8,8,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0
AGUA DOCE,420040,Arsênio,SC,27,4,2,17,4,0,4,0.17391304347826086,0,0,0,0,0,0,0,0,0,0,0
AGUA FRIA,290040,Arsênio,BA,8,8,0,0,0,0,0,NA,NA,0,0,0,0,2,0,0,0,0,0
AGUA FRIA DE GOIAS,520017,Arsênio,GO,9,1,6,1,1,0,1,0.125,0,0,0,0,0,0,0,0,0,0,0
AGUA LIMPA,520020,Arsênio,GO,20,6,2,10,2,0,2,0.14285714285714285,0,0,0,0,0,0,0,0,0,0,0
AGUA SANTA,430005,Arsênio,RS,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGUAI,350030,Arsênio,SP,16,0,8,8,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
AGUAS DA PRATA,350040,Arsênio,SP,81,12,30,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGUAS DE SAO PEDRO,350060,Arsênio,SP,20,3,6,10,1,0,1,0.058823529411764705,0,0,0,0,0,0,0,0,0,0,0
AGUAS FORMOSAS,310090,Arsênio,MG,10,9,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0
AGUAS FRIAS,420055,Arsênio,SC,27,1,5,19,1,1,2,0.07692307692307693,0.038461538461538464,0,0,0,0,0,0,0,0,0,0
AGUAS LINDAS DE GOIAS,520025,Arsênio,GO,3,1,0,0,2,0,2,1,0,2,0,0,0,0,0,0,0,0,0
AGUAS MORNAS,420060,Arsênio,SC,14,0,1,13,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
AGUAS VERMELHAS,310100,Arsênio,MG,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGUDO,430010,Arsênio,RS,35,0,35,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
AGUDOS,350070,Arsênio,SP,80,7,22,50,1,0,1,0.0136986301369863,0,0,0,0,0,0,0,0,0,2,1
AGUDOS DO SUL,410030,Arsênio,PR,33,0,20,7,6,0,6,0.18181818181818182,0,0,0,0,0,0,0,0,0,0,0
AGUIA BRANCA,320013,Arsênio,ES,20,8,1,10,1,0,1,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
AGUIARNOPOLIS,170030,Arsênio,TO,18,0,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIQUARA,290060,Arsênio,BA,12,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AJURICABA,430020,Arsênio,RS,32,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALAMBARI,350075,Arsênio,SP,2,2,0,0,0,0,0,NA,NA,0,0,0,0,0,1,0,0,0,0
ALCINOPOLIS,500025,Arsênio,MS,14,0,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALCOBACA,290080,Arsênio,BA,10,10,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0
ALECRIM,430030,Arsênio,RS,23,0,21,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
ALEGRETE,430040,Arsênio,RS,214,26,67,116,5,0,5,0.026595744680851064,0,0,0,0,0,2,0,1,0,0,0
ALEXANIA,520030,Arsênio,GO,18,4,5,4,5,0,5,0.35714285714285715,0,1,0,0,0,0,0,0,0,0,0
ALFENAS,310160,Arsênio,MG,3,3,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,1,0,2
ALFREDO MARCONDES,350080,Arsênio,SP,25,1,4,16,4,0,4,0.16666666666666666,0,0,0,0,0,0,0,0,0,0,0
ALFREDO VASCONCELOS,310163,Arsênio,MG,12,11,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ALFREDO WAGNER,420070,Arsênio,SC,18,0,1,16,1,0,1,0.05555555555555555,0,0,0,0,0,0,0,0,0,0,0
ALMADINA,290090,Arsênio,BA,12,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALMAS,170040,Arsênio,TO,61,2,15,41,3,0,3,0.05084745762711865,0,5,0,0,0,0,0,0,0,0,0
ALMENARA,310170,Arsênio,MG,8,1,0,0,7,0,7,1,0,0,0,0,1,1,0,0,0,0,0
ALMIRANTE TAMANDARE,410040,Arsênio,PR,32,0,26,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
ALOANDIA,520050,Arsênio,GO,32,5,16,5,6,0,6,0.2222222222222222,0,0,0,0,0,0,0,0,0,0,0
ALPERCATA,310180,Arsênio,MG,5,0,1,0,4,0,4,0.8,0,0,0,0,0,1,0,0,0,0,0
ALPESTRE,430050,Arsênio,RS,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALPINOPOLIS,310190,Arsênio,MG,22,16,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALTAIR,350090,Arsênio,SP,30,3,13,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALTAMIRA DO PARANA,410045,Arsênio,PR,16,0,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALTEROSA,310200,Arsênio,MG,8,8,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0
ALTO ALEGRE,350110,Arsênio,SP,34,2,20,4,8,0,8,0.25,0,0,0,0,0,0,0,0,0,0,0
ALTO ALEGRE,430055,Arsênio,RS,21,0,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALTO HORIZONTE,520055,Arsênio,GO,6,2,1,2,1,0,1,0.25,0,1,1,0,0,0,0,0,0,0,0
ALTO JEQUITIBA,315350,Arsênio,MG,18,2,10,1,5,0,5,0.3125,0,0,0,0,0,0,0,0,0,0,0
ALTO PARAISO,412862,Arsênio,PR,40,0,19,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALTO PARAISO DE GOIAS,520060,Arsênio,GO,22,8,3,8,3,0,3,0.21428571428571427,0,1,0,0,0,0,0,0,0,0,0
ALTO PARANA,410060,Arsênio,PR,45,0,27,18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
ALTO PIQUIRI,410070,Arsênio,PR,67,0,35,32,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ALTO RIO DOCE,310210,Arsênio,MG,48,45,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALTONIA,410050,Arsênio,PR,59,0,30,29,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ALUMINIO,350115,Arsênio,SP,66,1,10,33,21,1,22,0.3384615384615385,0.015384615384615385,0,0,0,0,0,0,0,0,1,1
ALVARENGA,310220,Arsênio,MG,4,2,0,1,1,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0
ALVARES MACHADO,350130,Arsênio,SP,44,3,12,28,1,0,1,0.024390243902439025,0,0,0,0,0,2,0,0,0,0,1
ALVARO DE CARVALHO,350140,Arsênio,SP,16,1,8,6,1,0,1,0.06666666666666667,0,0,0,0,0,0,0,0,0,0,0
ALVINLANDIA,350150,Arsênio,SP,8,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALVINOPOLIS,310230,Arsênio,MG,20,0,14,6,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
ALVORADA,430060,Arsênio,RS,36,0,32,2,1,1,2,0.05555555555555555,0.027777777777777776,0,0,0,0,1,0,0,0,1,2
ALVORADA DE MINAS,310240,Arsênio,MG,2,2,0,0,0,0,0,NA,NA,1,0,0,0,0,0,0,0,0,0
ALVORADA DO NORTE,520080,Arsênio,GO,32,7,13,7,5,0,5,0.2,0,0,0,0,0,0,0,0,0,0,0
AMAMBAI,500060,Arsênio,MS,14,0,14,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0
AMAPORA,410090,Arsênio,PR,20,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMARAL FERRADOR,430063,Arsênio,RS,12,0,1,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AMARALINA,520082,Arsênio,GO,3,3,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0
AMARGOSA,290100,Arsênio,BA,13,8,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
AMELIA RODRIGUES,290110,Arsênio,BA,11,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMERICANO DO BRASIL,520085,Arsênio,GO,20,3,10,3,4,0,4,0.23529411764705882,0,0,0,0,1,0,0,0,0,0,0
AMETISTA DO SUL,430064,Arsênio,RS,31,0,29,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
AMORINOPOLIS,520090,Arsênio,GO,8,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMPARO DO SERRA,310250,Arsênio,MG,8,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMPERE,410100,Arsênio,PR,35,0,16,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANAGE,290120,Arsênio,BA,7,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANAHY,410105,Arsênio,PR,20,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANAPOLIS,520110,Arsênio,GO,75,36,16,7,15,1,16,0.41025641025641024,0.02564102564102564,6,0,0,0,7,0,1,2,2,1
ANASTACIO,500070,Arsênio,MS,15,0,10,5,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
ANAURILANDIA,500080,Arsênio,MS,27,0,15,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ANCHIETA,320040,Arsênio,ES,53,0,17,36,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
ANCHIETA,420080,Arsênio,SC,36,0,8,28,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
ANDARAI,290130,Arsênio,BA,9,4,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ANDRADAS,310260,Arsênio,MG,30,18,2,9,1,0,1,0.08333333333333333,0,1,0,0,0,0,0,1,0,0,0
ANDRELANDIA,310280,Arsênio,MG,13,3,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ANGATUBA,350220,Arsênio,SP,4,4,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0
ANGELICA,500085,Arsênio,MS,42,0,24,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANGELINA,420090,Arsênio,SC,30,0,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANGICAL,290140,Arsênio,BA,12,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANHANGUERA,520120,Arsênio,GO,3,1,1,0,1,0,1,0.5,0,0,0,0,0,1,0,0,0,0,0
ANHEMBI,350230,Arsênio,SP,79,29,21,27,2,0,2,0.04,0,0,0,0,0,0,0,0,0,0,0
ANHUMAS,350240,Arsênio,SP,23,0,6,15,2,0,2,0.08695652173913043,0,0,0,0,0,0,0,0,0,0,0
ANICUNS,520130,Arsênio,GO,55,19,15,16,5,0,5,0.1388888888888889,0,0,0,0,0,4,0,0,0,0,1
ANITA GARIBALDI,420100,Arsênio,SC,17,0,4,12,1,0,1,0.058823529411764705,0,0,0,0,0,0,1,0,0,0,1
ANTAS,290160,Arsênio,BA,13,13,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0
ANTONIO CARDOSO,290170,Arsênio,BA,10,5,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ANTONIO CARLOS,310290,Arsênio,MG,62,49,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANTONIO CARLOS,420120,Arsênio,SC,15,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANTONIO DIAS,310300,Arsênio,MG,5,0,0,2,3,0,3,0.6,0,2,0,0,0,0,0,0,0,0,0
ANTONIO GONCALVES,290180,Arsênio,BA,5,5,0,0,0,0,0,NA,NA,0,0,0,1,0,0,0,0,0,0
ANTONIO JOAO,500090,Arsênio,MS,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANTONIO OLINTO,410130,Arsênio,PR,52,1,30,20,1,0,1,0.0196078431372549,0,0,0,0,0,0,0,0,0,0,0
ANTONIO PRADO,430080,Arsênio,RS,210,0,187,19,4,0,4,0.01904761904761905,0,0,0,0,0,2,0,0,0,0,0
APARECIDA D'OESTE,350260,Arsênio,SP,26,7,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APARECIDA DE GOIANIA,520140,Arsênio,GO,55,34,6,0,14,1,15,0.7142857142857143,0.047619047619047616,4,0,0,1,6,0,4,0,5,4
APARECIDA DO RIO DOCE,520145,Arsênio,GO,6,0,4,1,1,0,1,0.16666666666666666,0,0,0,0,0,0,0,0,0,0,0
APARECIDA DO TABOADO,500100,Arsênio,MS,11,1,5,5,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
APERIBE,330015,Arsênio,RJ,2,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0
APIAI,350270,Arsênio,SP,229,4,58,114,53,0,53,0.23555555555555555,0,1,0,0,0,0,0,0,0,0,0
APORE,520150,Arsênio,GO,6,0,4,1,1,0,1,0.16666666666666666,0,0,0,0,0,1,0,0,0,0,0
APUAREMA,290195,Arsênio,BA,12,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APUCARANA,410140,Arsênio,PR,64,0,31,33,0,0,0,0,0,0,0,0,0,20,0,2,0,1,1
AQUIDAUANA,500110,Arsênio,MS,54,0,44,10,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
AQUIRAZ,230100,Arsênio,CE,1,1,0,0,0,0,0,NA,NA,0,0,0,0,1,0,0,0,0,1
ARACAI,310320,Arsênio,MG,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARACAJU,280030,Arsênio,SE,3,2,0,1,0,0,0,0,0,0,0,0,0,3,0,1,1,0,5
ARACARIGUAMA,350275,Arsênio,SP,18,1,10,6,1,0,1,0.058823529411764705,0,0,0,0,0,0,0,2,0,1,3
ARACATU,290200,Arsênio,BA,7,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARACI,290210,Arsênio,BA,2,2,0,0,0,0,0,NA,NA,1,2,0,0,0,0,0,0,0,0
ARACOIABA,230120,Arsênio,CE,1,1,0,0,0,0,0,NA,NA,0,0,0,0,1,0,0,0,0,0
ARACRUZ,320060,Arsênio,ES,32,0,0,29,3,0,3,0.09375,0,0,0,0,0,0,0,4,0,0,0
ARACU,520160,Arsênio,GO,8,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARAGARCAS,520170,Arsênio,GO,5,1,1,2,1,0,1,0.25,0,0,0,0,0,0,0,0,0,0,0
ARAGOIANIA,520180,Arsênio,GO,25,7,7,3,8,0,8,0.4444444444444444,0,0,0,0,0,7,0,0,0,0,0
ARAGUAINA,170210,Arsênio,TO,94,0,39,45,9,1,10,0.10638297872340426,0.010638297872340425,4,0,0,0,7,0,0,0,1,0
ARAGUANA,170215,Arsênio,TO,21,0,8,11,2,0,2,0.09523809523809523,0,0,0,0,0,0,0,0,0,0,0
ARAGUAPAZ,520215,Arsênio,GO,12,2,5,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ARAL MOREIRA,500124,Arsênio,MS,40,0,39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARAMARI,290220,Arsênio,BA,5,5,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0
ARAMBARE,430085,Arsênio,RS,14,0,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARANDU,350310,Arsênio,SP,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARANTINA,310360,Arsênio,MG,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARAPEI,350315,Arsênio,SP,32,0,6,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARAPIRACA,270030,Arsênio,AL,11,0,0,5,6,0,6,0.5454545454545454,0,0,0,0,0,3,0,0,0,1,1
ARAPOEMA,170230,Arsênio,TO,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARAPONGA,310370,Arsênio,MG,22,5,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARAPONGAS,410150,Arsênio,PR,50,0,29,21,0,0,0,0,0,1,0,0,0,7,0,1,0,1,2
ARAPOTI,410160,Arsênio,PR,65,0,32,33,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
ARAPUA,410165,Arsênio,PR,18,1,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARAQUARI,420130,Arsênio,SC,32,0,0,23,9,0,9,0.28125,0,0,0,0,0,0,0,0,0,0,1
ARARENDA,230125,Arsênio,CE,1,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0
ARARUAMA,330020,Arsênio,RJ,42,7,2,15,18,0,18,0.5142857142857142,0,0,0,0,0,0,0,0,0,0,0
ARARUNA,410170,Arsênio,PR,48,0,30,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARATACA,290225,Arsênio,BA,20,9,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARATIBA,430090,Arsênio,RS,48,0,42,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARATUBA,230140,Arsênio,CE,1,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0
ARATUIPE,290230,Arsênio,BA,11,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARAUCARIA,410180,Arsênio,PR,60,0,30,29,1,0,1,0.016666666666666666,0,0,0,0,0,0,0,2,0,0,7
ARAXA,310400,Arsênio,MG,12,4,4,4,0,0,0,0,0,1,0,0,0,2,0,1,0,0,2
ARCEBURGO,310410,Arsênio,MG,16,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARCO-IRIS,350335,Arsênio,SP,21,5,3,10,3,0,3,0.1875,0,0,0,0,0,0,0,0,0,0,0
ARCOS,310420,Arsênio,MG,25,21,2,0,2,0,2,0.5,0,2,0,0,0,0,1,4,0,0,0
AREALVA,350340,Arsênio,SP,111,16,24,66,5,0,5,0.05263157894736842,0,0,0,0,0,0,1,0,0,0,0
AREIA BRANCA,280050,Arsênio,SE,8,0,0,6,2,0,2,0.25,0,0,0,0,0,0,0,0,0,0,0
AREIOPOLIS,350360,Arsênio,SP,23,9,4,9,1,0,1,0.07142857142857142,0,0,0,0,0,0,0,0,0,0,0
ARENOPOLIS,520235,Arsênio,GO,35,4,21,5,5,0,5,0.16129032258064516,0,0,0,0,0,0,0,0,0,0,0
ARIRANHA DO IVAI,410185,Arsênio,PR,19,0,8,10,1,0,1,0.05263157894736842,0,0,0,0,0,0,0,0,0,0,0
ARMAZEM,420150,Arsênio,SC,57,2,7,37,9,2,11,0.2,0.03636363636363636,1,0,0,0,0,0,0,0,0,0
ARRAIAS,170240,Arsênio,TO,4,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ARROIO DO MEIO,430100,Arsênio,RS,58,2,54,1,0,1,1,0.017857142857142856,0.017857142857142856,0,0,0,0,5,0,1,0,0,0
ARROIO DO PADRE,430107,Arsênio,RS,1,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0
ARROIO DO TIGRE,430120,Arsênio,RS,67,8,50,6,3,0,3,0.05084745762711865,0,0,0,0,0,0,0,0,0,0,0
ARROIO DOS RATOS,430110,Arsênio,RS,46,8,37,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ARROIO GRANDE,430130,Arsênio,RS,47,0,44,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ARROIO TRINTA,420160,Arsênio,SC,18,1,4,12,1,0,1,0.058823529411764705,0,0,0,0,0,0,0,0,0,0,0
ARUANA,520250,Arsênio,GO,22,9,5,5,3,0,3,0.23076923076923078,0,0,0,0,0,0,0,0,0,0,0
ARVOREZINHA,430140,Arsênio,RS,113,0,42,71,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ASCURRA,420170,Arsênio,SC,20,0,3,15,2,0,2,0.1,0,0,0,0,0,0,0,0,0,0,0
ASPASIA,350395,Arsênio,SP,23,7,10,5,1,0,1,0.0625,0,0,0,0,0,0,0,0,0,0,0
ASSAI,410190,Arsênio,PR,35,0,10,22,3,0,3,0.08571428571428572,0,1,0,0,0,0,0,0,0,0,0
ASSIS,350400,Arsênio,SP,23,2,9,11,1,0,1,0.047619047619047616,0,0,0,0,0,0,0,0,0,0,3
ASSIS CHATEAUBRIAND,410200,Arsênio,PR,168,1,72,95,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
ASTOLFO DUTRA,310460,Arsênio,MG,10,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASTORGA,410210,Arsênio,PR,93,12,45,8,28,0,28,0.345679012345679,0,0,0,0,0,0,1,0,0,1,0
ATALAIA,270040,Arsênio,AL,8,4,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
ATALAIA,410220,Arsênio,PR,18,0,10,8,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
ATALANTA,420180,Arsênio,SC,19,1,5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATALEIA,310470,Arsênio,MG,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATILIO VIVACQUA,320070,Arsênio,ES,17,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUGUSTINOPOLIS,170255,Arsênio,TO,21,0,6,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUGUSTO DE LIMA,310480,Arsênio,MG,14,3,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUREA,430155,Arsênio,RS,35,0,35,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
AURELINO LEAL,290240,Arsênio,BA,19,6,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AURIFLAMA,350420,Arsênio,SP,15,0,5,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
AURILANDIA,520260,Arsênio,GO,14,2,5,6,1,0,1,0.08333333333333333,0,4,0,0,0,0,0,0,0,0,0
AVAI,350430,Arsênio,SP,36,18,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AVARE,350450,Arsênio,SP,19,18,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0
AVELINOPOLIS,520280,Arsênio,GO,14,3,7,1,3,0,3,0.2727272727272727,0,0,0,0,0,0,0,0,0,0,0
BABACULANDIA,170300,Arsênio,TO,19,1,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAEPENDI,310490,Arsênio,MG,2,0,2,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0
BAIANOPOLIS,290250,Arsênio,BA,11,5,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BALBINOS,350470,Arsênio,SP,23,2,11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BALDIM,310500,Arsênio,MG,4,4,0,0,0,0,0,NA,NA,1,0,0,0,0,0,0,0,0,0
BALIZA,520310,Arsênio,GO,3,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
BALNEARIO BARRA DO SUL,420205,Arsênio,SC,12,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BALNEARIO PICARRAS,421280,Arsênio,SC,34,1,2,26,5,0,5,0.15151515151515152,0,0,0,0,0,0,0,0,0,0,0
BALNEARIO PINHAL,430163,Arsênio,RS,41,0,38,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BALSA NOVA,410230,Arsênio,PR,112,0,56,56,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
BAMBUI,310510,Arsênio,MG,2,2,0,0,0,0,0,NA,NA,0,0,0,0,2,1,0,0,0,0
BANANAL,350490,Arsênio,SP,40,6,8,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BANDEIRANTE,420208,Arsênio,SC,26,4,5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BANZAE,290265,Arsênio,BA,4,4,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0
BARAO,430165,Arsênio,RS,22,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BARAO DE ANTONINA,350500,Arsênio,SP,4,4,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0
BARAO DE COCAIS,310540,Arsênio,MG,4,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
BARAO DE COTEGIPE,430170,Arsênio,RS,75,1,73,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
