municipio,codigo_ibge,parâmetro,uf,Total de testes substâncias em geral para cada linha - incluindo MENOR_LQ,Total de inconsistentes,Total de Consistentes não detectados,Total de parâmetros com MENOR_LQ,Total de Consistentes detectados Abaixo do VMP,Total de Consistentes detectados Acima do VMP,Total_Detectados,prop1,prop2,cnae_729404,cnae_729405,cnae_2019399,cnae_2093200,cnae_2522500,cnae_2539002,cnae_2721000
ALMIRANTE TAMANDARE,410040,Cádmio,PR,32,0,26,6,0,0,0,0,0,0,0,0,1,0,3,0
ALOANDIA,520050,Cádmio,GO,32,9,14,4,3,2,5,0.21739130434782608,0.08695652173913043,0,0,0,0,0,0,0
ALPERCATA,310180,Cádmio,MG,5,1,0,0,4,0,4,1,0,0,0,0,0,0,0,0
ALPESTRE,430050,Cádmio,RS,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
ALPINOPOLIS,310190,Cádmio,MG,16,16,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0
ALTAIR,350090,Cádmio,SP,30,3,10,17,0,0,0,0,0,0,0,0,0,0,0,0
ALTAMIRA DO PARANA,410045,Cádmio,PR,16,0,10,6,0,0,0,0,0,0,0,0,0,0,0,0
ALTEROSA,310200,Cádmio,MG,6,6,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0
ALTO ALEGRE,350110,Cádmio,SP,33,0,3,23,6,1,7,0.21212121212121213,0.030303030303030304,0,0,0,0,0,0,0
ALTO ALEGRE,430055,Cádmio,RS,22,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0
ALTO HORIZONTE,520055,Cádmio,GO,6,3,0,2,1,0,1,0.3333333333333333,0,0,0,0,0,0,0,0
ALTO JEQUITIBA,315350,Cádmio,MG,18,2,10,1,5,0,5,0.3125,0,0,0,0,0,0,0,0
ALTO PARAISO,412862,Cádmio,PR,40,1,20,18,0,1,1,0.02564102564102564,0.02564102564102564,0,0,0,0,0,0,0
ALTO PARAISO DE GOIAS,520060,Cádmio,GO,24,10,4,8,1,1,2,0.14285714285714285,0.07142857142857142,0,0,0,0,0,0,0
ALTO PARANA,410060,Cádmio,PR,45,0,27,18,0,0,0,0,0,0,0,0,1,0,0,0
ALTO PIQUIRI,410070,Cádmio,PR,67,0,34,33,0,0,0,0,0,0,0,0,0,0,0,0
ALTO RIO DOCE,310210,Cádmio,MG,53,50,0,3,0,0,0,0,0,0,0,0,0,0,0,0
ALTONIA,410050,Cádmio,PR,59,0,30,29,0,0,0,0,0,0,0,0,0,0,1,0
ALUMINIO,350115,Cádmio,SP,74,3,29,41,1,0,1,0.014084507042253521,0,0,0,0,0,0,1,0
ALVARENGA,310220,Cádmio,MG,4,0,0,0,4,0,4,1,0,0,0,0,0,0,0,0
ALVARES MACHADO,350130,Cádmio,SP,44,2,10,30,2,0,2,0.047619047619047616,0,0,0,0,0,0,0,0
ALVARO DE CARVALHO,350140,Cádmio,SP,17,1,7,8,0,1,1,0.0625,0.0625,0,0,0,0,0,0,0
ALVINLANDIA,350150,Cádmio,SP,18,6,0,11,0,1,1,0.08333333333333333,0.08333333333333333,0,0,0,0,0,0,0
ALVINOPOLIS,310230,Cádmio,MG,20,0,14,6,0,0,0,0,0,0,0,0,0,0,0,0
ALVORADA,430060,Cádmio,RS,36,0,32,2,2,0,2,0.05555555555555555,0,0,0,0,2,0,4,2
ALVORADA DE MINAS,310240,Cádmio,MG,1,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0
ALVORADA DO NORTE,520080,Cádmio,GO,32,6,12,9,5,0,5,0.19230769230769232,0,0,0,0,0,0,0,0
AMAMBAI,500060,Cádmio,MS,14,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
AMAPORA,410090,Cádmio,PR,20,0,9,11,0,0,0,0,0,0,0,0,0,0,0,0
AMARAL FERRADOR,430063,Cádmio,RS,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
AMARALINA,520082,Cádmio,GO,3,3,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0
AMARGOSA,290100,Cádmio,BA,16,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
AMELIA RODRIGUES,290110,Cádmio,BA,14,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0
AMERICANO DO BRASIL,520085,Cádmio,GO,20,5,6,5,4,0,4,0.26666666666666666,0,1,0,0,0,0,1,0
AMETISTA DO SUL,430064,Cádmio,RS,32,0,30,1,1,0,1,0.03125,0,0,0,1,0,0,0,0
AMORINOPOLIS,520090,Cádmio,GO,8,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0
AMPARO DO SERRA,310250,Cádmio,MG,6,1,3,1,1,0,1,0.2,0,0,0,0,0,0,0,0
AMPERE,410100,Cádmio,PR,35,1,16,18,0,0,0,0,0,0,0,0,0,0,0,0
ANAGE,290120,Cádmio,BA,4,4,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0
ANAHY,410105,Cádmio,PR,20,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0
ANAPOLIS,520110,Cádmio,GO,74,39,15,15,5,0,5,0.14285714285714285,0,0,0,1,3,0,3,0
ANASTACIO,500070,Cádmio,MS,14,0,10,4,0,0,0,0,0,0,0,0,0,0,0,0
ANAURILANDIA,500080,Cádmio,MS,27,2,14,11,0,0,0,0,0,0,0,0,0,0,0,0
ANCHIETA,320040,Cádmio,ES,54,0,18,35,1,0,1,0.018518518518518517,0,0,0,0,0,0,1,0
ANCHIETA,420080,Cádmio,SC,36,0,9,27,0,0,0,0,0,0,0,0,0,0,0,0
ANDARAI,290130,Cádmio,BA,13,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0
ANDRADAS,310260,Cádmio,MG,28,16,0,12,0,0,0,0,0,0,0,1,0,0,0,0
ANDRELANDIA,310280,Cádmio,MG,11,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0
ANGATUBA,350220,Cádmio,SP,26,4,0,18,3,1,4,0.18181818181818182,0.045454545454545456,0,0,0,1,0,0,0
ANGELICA,500085,Cádmio,MS,42,1,24,17,0,0,0,0,0,0,0,0,0,0,0,0
ANGELIM,260100,Cádmio,PE,2,2,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0
ANGELINA,420090,Cádmio,SC,30,2,0,28,0,0,0,0,0,0,0,0,0,0,0,0
ANGICAL,290140,Cádmio,BA,14,6,1,7,0,0,0,0,0,0,0,0,0,0,0,0
ANHANGUERA,520120,Cádmio,GO,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
ANHEMBI,350230,Cádmio,SP,79,28,24,25,2,0,2,0.0392156862745098,0,0,0,0,0,0,0,0
ANHUMAS,350240,Cádmio,SP,7,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0
ANICUNS,520130,Cádmio,GO,55,19,14,14,8,0,8,0.2222222222222222,0,0,0,0,0,0,0,0
ANITA GARIBALDI,420100,Cádmio,SC,16,1,5,9,1,0,1,0.06666666666666667,0,0,0,0,0,0,0,0
ANTAS,290160,Cádmio,BA,16,16,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0
ANTONIO CARDOSO,290170,Cádmio,BA,11,5,0,6,0,0,0,0,0,0,0,1,0,0,0,0
ANTONIO CARLOS,310290,Cádmio,MG,62,49,0,13,0,0,0,0,0,0,0,0,1,0,0,0
ANTONIO CARLOS,420120,Cádmio,SC,15,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0
ANTONIO DIAS,310300,Cádmio,MG,5,0,0,2,3,0,3,0.6,0,0,0,0,0,0,0,0
ANTONIO GONCALVES,290180,Cádmio,BA,7,7,0,0,0,0,0,NA,NA,1,0,0,0,0,0,0
ANTONIO JOAO,500090,Cádmio,MS,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
ANTONIO OLINTO,410130,Cádmio,PR,52,1,30,20,1,0,1,0.0196078431372549,0,0,0,0,0,0,0,0
ANTONIO PRADO,430080,Cádmio,RS,210,0,207,3,0,0,0,0,0,0,0,0,0,0,0,0
APARECIDA D'OESTE,350260,Cádmio,SP,26,6,2,17,1,0,1,0.05,0,0,0,0,0,0,0,0
APARECIDA DE GOIANIA,520140,Cádmio,GO,13,3,4,2,4,0,4,0.4,0,1,0,4,5,1,20,0
APARECIDA DO RIO DOCE,520145,Cádmio,GO,6,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0
APARECIDA DO TABOADO,500100,Cádmio,MS,11,0,6,5,0,0,0,0,0,0,0,0,0,0,1,0
APIACA,320050,Cádmio,ES,10,0,0,9,1,0,1,0.1,0,0,0,0,0,0,0,0
APIAI,350270,Cádmio,SP,230,4,41,131,54,0,54,0.23893805309734514,0,0,0,0,0,0,0,0
APORE,520150,Cádmio,GO,6,1,1,3,1,0,1,0.2,0,0,0,0,0,0,0,0
APUAREMA,290195,Cádmio,BA,13,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0
APUCARANA,410140,Cádmio,PR,65,0,31,34,0,0,0,0,0,0,0,2,5,0,1,0
AQUIDAUANA,500110,Cádmio,MS,53,1,43,9,0,0,0,0,0,0,0,0,0,0,2,0
AQUIRAZ,230100,Cádmio,CE,1,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0
ARACAI,310320,Cádmio,MG,5,2,2,0,1,0,1,0.3333333333333333,0,0,0,0,0,0,0,0
ARACAJU,280030,Cádmio,SE,3,2,0,1,0,0,0,0,0,0,0,1,1,0,2,0
ARACARIGUAMA,350275,Cádmio,SP,18,0,7,9,2,0,2,0.1111111111111111,0,0,0,2,2,0,0,0
ARACATU,290200,Cádmio,BA,8,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0
ARACI,290210,Cádmio,BA,3,3,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0
ARACOIABA,230120,Cádmio,CE,1,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0
ARACRUZ,320060,Cádmio,ES,35,0,0,28,7,0,7,0.2,0,0,0,4,1,0,6,0
ARACU,520160,Cádmio,GO,8,6,0,1,1,0,1,0.5,0,0,0,0,0,0,0,0
ARAGARCAS,520170,Cádmio,GO,5,1,2,2,0,0,0,0,0,0,0,0,0,0,1,0
ARAGOIANIA,520180,Cádmio,GO,25,7,3,11,4,0,4,0.2222222222222222,0,0,0,0,0,0,0,0
ARAGUAINA,170210,Cádmio,TO,52,0,39,13,0,0,0,0,0,0,1,0,1,0,3,0
ARAGUANA,170215,Cádmio,TO,9,0,8,0,1,0,1,0.1111111111111111,0,0,0,0,0,0,0,0
ARAGUAPAZ,520215,Cádmio,GO,12,3,3,5,1,0,1,0.1111111111111111,0,0,0,0,0,0,0,0
ARAL MOREIRA,500124,Cádmio,MS,40,1,39,0,0,0,0,0,0,0,0,0,0,0,0,0
ARAMARI,290220,Cádmio,BA,6,6,0,0,0,0,0,NA,NA,0,0,0,1,0,0,0
ARAMBARE,430085,Cádmio,RS,13,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0
ARANDU,350310,Cádmio,SP,22,6,0,12,4,0,4,0.25,0,0,0,0,0,0,0,0
ARANTINA,310360,Cádmio,MG,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
ARAPEI,350315,Cádmio,SP,32,18,6,8,0,0,0,0,0,0,0,0,0,0,0,0
ARAPIRACA,270030,Cádmio,AL,7,1,0,4,2,0,2,0.3333333333333333,0,0,0,0,0,0,1,0
ARAPOEMA,170230,Cádmio,TO,16,0,4,11,1,0,1,0.0625,0,0,0,0,0,0,0,0
ARAPONGA,310370,Cádmio,MG,18,5,5,8,0,0,0,0,0,0,0,0,0,0,0,0
ARAPONGAS,410150,Cádmio,PR,50,0,29,21,0,0,0,0,0,0,0,1,0,0,2,0
ARAPOTI,410160,Cádmio,PR,85,0,45,40,0,0,0,0,0,0,0,2,1,0,0,0
ARAPUA,410165,Cádmio,PR,17,0,10,7,0,0,0,0,0,0,0,0,0,0,0,0
ARAQUARI,420130,Cádmio,SC,17,0,0,9,8,0,8,0.47058823529411764,0,0,0,0,2,0,22,0
ARARENDA,230125,Cádmio,CE,1,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0
ARARUAMA,330020,Cádmio,RJ,42,5,2,25,10,0,10,0.2702702702702703,0,0,0,0,1,0,0,0
ARARUNA,410170,Cádmio,PR,47,0,30,17,0,0,0,0,0,0,0,0,1,0,2,0
ARATACA,290225,Cádmio,BA,28,8,0,20,0,0,0,0,0,0,0,0,0,0,0,0
ARATIBA,430090,Cádmio,RS,48,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0
ARATUBA,230140,Cádmio,CE,1,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0
ARATUIPE,290230,Cádmio,BA,15,6,0,9,0,0,0,0,0,0,0,0,0,0,1,0
ARAUCARIA,410180,Cádmio,PR,60,0,30,28,2,0,2,0.03333333333333333,0,0,0,2,2,1,19,0
ARAXA,310400,Cádmio,MG,10,4,0,6,0,0,0,0,0,0,0,1,0,0,4,0
ARCEBURGO,310410,Cádmio,MG,18,14,0,4,0,0,0,0,0,0,0,0,0,0,0,0
ARCO-IRIS,350335,Cádmio,SP,21,4,3,14,0,0,0,0,0,0,0,0,0,0,0,0
ARCOS,310420,Cádmio,MG,25,21,2,0,0,2,2,0.5,0.5,0,0,4,0,0,1,0
AREALVA,350340,Cádmio,SP,110,18,36,56,0,0,0,0,0,0,0,0,0,0,0,0
AREIOPOLIS,350360,Cádmio,SP,23,9,7,7,0,0,0,0,0,0,0,0,0,0,0,0
ARENOPOLIS,520235,Cádmio,GO,36,6,21,4,4,1,5,0.16666666666666666,0.03333333333333333,0,0,0,0,0,0,0
ARIRANHA DO IVAI,410185,Cádmio,PR,19,0,11,7,1,0,1,0.05263157894736842,0,0,0,0,0,0,0,0
ARMAZEM,420150,Cádmio,SC,59,0,10,40,8,1,9,0.15254237288135594,0.01694915254237288,0,0,0,0,0,0,0
ARRAIAS,170240,Cádmio,TO,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
ARROIO DO MEIO,430100,Cádmio,RS,58,4,53,1,0,0,0,0,0,0,0,1,0,0,1,0
ARROIO DO PADRE,430107,Cádmio,RS,1,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0
ARROIO DO TIGRE,430120,Cádmio,RS,67,8,56,0,3,0,3,0.05084745762711865,0,0,0,0,0,0,0,0
ARROIO DOS RATOS,430110,Cádmio,RS,47,8,38,1,0,0,0,0,0,0,0,0,0,0,0,0
ARROIO GRANDE,430130,Cádmio,RS,51,0,49,2,0,0,0,0,0,0,0,0,0,0,0,0
ARROIO TRINTA,420160,Cádmio,SC,18,1,5,11,1,0,1,0.058823529411764705,0,0,0,0,0,0,0,0
ARUANA,520250,Cádmio,GO,24,9,4,8,3,0,3,0.2,0,0,0,0,0,0,0,0
ARVOREZINHA,430140,Cádmio,RS,114,0,113,1,0,0,0,0,0,0,0,0,0,0,0,0
ASCURRA,420170,Cádmio,SC,20,0,2,17,1,0,1,0.05,0,0,0,0,1,0,2,0
ASPASIA,350395,Cádmio,SP,22,5,2,15,0,0,0,0,0,0,0,0,0,0,0,0
ASSAI,410190,Cádmio,PR,35,0,20,15,0,0,0,0,0,0,0,0,0,0,1,0
ASSIS,350400,Cádmio,SP,23,2,6,14,1,0,1,0.047619047619047616,0,0,0,0,0,0,0,0
ASSIS CHATEAUBRIAND,410200,Cádmio,PR,159,1,78,80,0,0,0,0,0,0,0,0,0,0,0,0
ASTOLFO DUTRA,310460,Cádmio,MG,11,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0
ASTORGA,410210,Cádmio,PR,95,8,46,8,33,0,33,0.3793103448275862,0,0,0,0,0,0,2,0
ATALAIA,410220,Cádmio,PR,18,0,10,8,0,0,0,0,0,0,0,0,0,0,0,0
ATALANTA,420180,Cádmio,SC,19,0,4,15,0,0,0,0,0,0,0,0,0,0,0,0
ATALEIA,310470,Cádmio,MG,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ATILIO VIVACQUA,320070,Cádmio,ES,17,1,0,14,0,2,2,0.125,0.125,0,0,0,0,0,0,0
AUGUSTINOPOLIS,170255,Cádmio,TO,21,1,6,14,0,0,0,0,0,0,0,0,0,0,0,0
AUGUSTO DE LIMA,310480,Cádmio,MG,14,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0
AUREA,430155,Cádmio,RS,35,1,34,0,0,0,0,0,0,0,0,0,0,0,0,0
AURELINO LEAL,290240,Cádmio,BA,27,8,0,19,0,0,0,0,0,0,0,0,0,0,0,0
AURIFLAMA,350420,Cádmio,SP,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
AURILANDIA,520260,Cádmio,GO,14,5,3,4,2,0,2,0.2222222222222222,0,0,0,0,0,0,0,0
AVAI,350430,Cádmio,SP,36,17,2,17,0,0,0,0,0,0,0,0,0,0,0,0
AVARE,350450,Cádmio,SP,70,18,0,41,11,0,11,0.21153846153846154,0,0,0,0,1,0,1,0
AVELINOPOLIS,520280,Cádmio,GO,14,2,6,5,1,0,1,0.08333333333333333,0,0,0,0,0,0,0,0
BABACULANDIA,170300,Cádmio,TO,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
BAIANOPOLIS,290250,Cádmio,BA,14,6,0,8,0,0,0,0,0,0,0,0,1,0,0,0
BALBINOS,350470,Cádmio,SP,23,1,2,20,0,0,0,0,0,0,0,0,0,0,0,0
BALDIM,310500,Cádmio,MG,4,4,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0
BALIZA,520310,Cádmio,GO,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
BALNEARIO BARRA DO SUL,420205,Cádmio,SC,12,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0
BALNEARIO PICARRAS,421280,Cádmio,SC,35,0,2,24,9,0,9,0.2571428571428571,0,0,0,0,0,0,0,0
BALNEARIO PINHAL,430163,Cádmio,RS,41,0,37,4,0,0,0,0,0,0,0,0,0,0,0,0
BALSA NOVA,410230,Cádmio,PR,112,0,56,56,0,0,0,0,0,0,0,0,0,0,0,0
BAMBUI,310510,Cádmio,MG,2,2,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0
BANANAL,350490,Cádmio,SP,41,25,8,8,0,0,0,0,0,0,0,0,0,0,0,0
BANDEIRANTE,420208,Cádmio,SC,22,2,5,15,0,0,0,0,0,0,0,0,0,0,0,0
BANZAE,290265,Cádmio,BA,5,5,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0
BARAO,430165,Cádmio,RS,23,5,18,0,0,0,0,0,0,0,0,0,0,0,1,0
BARAO DE ANTONINA,350500,Cádmio,SP,15,4,0,9,2,0,2,0.18181818181818182,0,0,0,0,0,0,0,0
BARAO DE COCAIS,310540,Cádmio,MG,2,2,0,0,0,0,0,NA,NA,0,0,0,1,0,0,0
BARAO DE COTEGIPE,430170,Cádmio,RS,77,2,74,1,0,0,0,0,0,0,0,0,0,0,0,0
BARAO DO TRIUNFO,430175,Cádmio,RS,17,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0
BARBACENA,310560,Cádmio,MG,8,8,0,0,0,0,0,NA,NA,0,0,1,0,0,1,0
BARBOSA FERRAZ,410250,Cádmio,PR,90,1,50,38,1,0,1,0.011235955056179775,0,0,0,0,0,0,0,0
BARRA BONITA,420209,Cádmio,SC,24,1,8,15,0,0,0,0,0,0,0,0,0,0,0,0
BARRA DE SANTO ANTONIO,270050,Cádmio,AL,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
BARRA DO CHAPEU,350535,Cádmio,SP,39,3,10,19,7,0,7,0.19444444444444445,0,0,0,0,0,0,0,0
BARRA DO CHOCA,290290,Cádmio,BA,23,8,0,15,0,0,0,0,0,0,0,0,0,0,0,0
BARRA DO GUARITA,430185,Cádmio,RS,17,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0
BARRA DO JACARE,410270,Cádmio,PR,20,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0
BARRA DO QUARAI,430187,Cádmio,RS,30,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
BARRA DO RIBEIRO,430190,Cádmio,RS,81,2,75,4,0,0,0,0,0,0,0,0,0,0,0,0
BARRA DO ROCHA,290310,Cádmio,BA,13,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0
BARRA DO TURVO,350540,Cádmio,SP,18,0,7,8,3,0,3,0.16666666666666666,0,0,0,0,0,0,0,0
BARRA LONGA,310570,Cádmio,MG,22,4,12,2,4,0,4,0.2222222222222222,0,0,0,0,0,0,0,0
BARRA VELHA,420210,Cádmio,SC,17,0,1,16,0,0,0,0,0,0,0,0,0,0,0,0
BARRACAO,430180,Cádmio,RS,37,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0
BARREIRAS,290320,Cádmio,BA,40,21,1,18,0,0,0,0,0,0,0,0,0,0,2,0
BARRO ALTO,520320,Cádmio,GO,31,7,14,7,3,0,3,0.125,0,0,0,0,0,0,0,0
BARROS CASSAL,430200,Cádmio,RS,50,0,48,2,0,0,0,0,0,0,0,0,0,0,0,0
BARROSO,310590,Cádmio,MG,18,18,0,0,0,0,0,NA,NA,0,0,0,0,0,1,0
BARUERI,350570,Cádmio,SP,20,0,10,10,0,0,0,0,0,0,0,5,21,1,9,2
BASTOS,350580,Cádmio,SP,45,10,10,24,1,0,1,0.02857142857142857,0,0,0,0,0,0,1,0
BATAGUASSU,500190,Cádmio,MS,42,0,21,12,9,0,9,0.21428571428571427,0,0,0,0,0,0,0,0
BATAYPORA,500200,Cádmio,MS,14,0,8,6,0,0,0,0,0,0,0,0,0,0,0,0
BELA VISTA DA CAROBA,410275,Cádmio,PR,20,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0
BELA VISTA DE GOIAS,520330,Cádmio,GO,102,10,47,29,16,0,16,0.17391304347826086,0,0,0,0,0,0,0,0
