municipio,codigo_ibge,parâmetro,uf,Total de testes substâncias em geral para cada linha - incluindo MENOR_LQ,Total de inconsistentes,Total de Consistentes não detectados,Total de parâmetros com MENOR_LQ,Total de Consistentes detectados Abaixo do VMP,Total de Consistentes detectados Acima do VMP,Total_Detectados,prop1,prop2,cnae_729404,cnae_1066000,cnae_2013401,cnae_2013402,cnae_2071100,cnae_2099101,cnae_2121101,cnae_2311700,cnae_2312500,cnae_2610800,cnae_2829199
ALFREDO VASCONCELOS,310163,Selênio,MG,12,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALMADINA,290090,Selênio,BA,12,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALMAS,170040,Selênio,TO,42,2,15,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALMENARA,310170,Selênio,MG,7,1,0,0,6,0,6,1,0,1,0,0,0,0,0,0,0,0,0,0
ALMIRANTE TAMANDARE,410040,Selênio,PR,32,0,26,6,0,0,0,0,0,0,3,1,18,15,1,0,0,0,5,2
ALOANDIA,520050,Selênio,GO,32,8,16,3,5,0,5,0.20833333333333334,0,0,1,0,0,0,0,0,0,0,0,0
ALPERCATA,310180,Selênio,MG,5,1,0,0,4,0,4,1,0,0,1,0,0,1,0,0,0,0,0,0
ALPESTRE,430050,Selênio,RS,11,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALPINOPOLIS,310190,Selênio,MG,22,16,4,2,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0
ALTAIR,350090,Selênio,SP,30,3,13,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ALTAMIRA DO PARANA,410045,Selênio,PR,15,0,0,9,0,6,6,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0
ALTEROSA,310200,Selênio,MG,8,8,0,0,0,0,0,NA,NA,0,6,0,0,0,0,0,0,0,0,0
ALTO ALEGRE,350110,Selênio,SP,34,2,10,14,8,0,8,0.25,0,0,0,0,0,0,0,0,0,0,0,0
ALTO ALEGRE,430055,Selênio,RS,21,1,19,0,1,0,1,0.05,0,0,0,0,0,0,0,0,0,0,0,0
ALTO HORIZONTE,520055,Selênio,GO,6,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALTO JEQUITIBA,315350,Selênio,MG,18,2,10,1,5,0,5,0.3125,0,0,0,0,1,0,0,0,0,0,0,0
ALTO PARAISO,412862,Selênio,PR,40,1,19,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALTO PARAISO DE GOIAS,520060,Selênio,GO,22,4,8,6,4,0,4,0.2222222222222222,0,0,0,0,0,0,0,0,0,0,0,0
ALTO PARANA,410060,Selênio,PR,45,0,27,18,0,0,0,0,0,0,2,2,2,0,0,0,0,0,1,1
ALTO PIQUIRI,410070,Selênio,PR,67,0,35,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALTO RIO DOCE,310210,Selênio,MG,46,43,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALTONIA,410050,Selênio,PR,59,0,30,29,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
ALUMINIO,350115,Selênio,SP,74,1,35,35,3,0,3,0.0410958904109589,0,0,0,0,0,5,0,0,0,0,1,0
ALVARENGA,310220,Selênio,MG,2,2,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
ALVARES MACHADO,350130,Selênio,SP,43,6,10,27,0,0,0,0,0,0,5,0,2,0,0,0,1,0,1,1
ALVARO DE CARVALHO,350140,Selênio,SP,16,0,10,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ALVINLANDIA,350150,Selênio,SP,8,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALVINOPOLIS,310230,Selênio,MG,20,2,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALVORADA,430060,Selênio,RS,36,0,36,0,0,0,0,0,0,0,4,0,3,5,0,2,3,0,2,18
ALVORADA DE MINAS,310240,Selênio,MG,2,2,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
ALVORADA DO NORTE,520080,Selênio,GO,31,6,15,3,7,0,7,0.28,0,0,2,0,0,0,0,0,0,0,0,0
AMAMBAI,500060,Selênio,MS,14,0,14,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
AMAPORA,410090,Selênio,PR,20,0,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMARAL FERRADOR,430063,Selênio,RS,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMARALINA,520082,Selênio,GO,3,3,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
AMARGOSA,290100,Selênio,BA,13,7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMELIA RODRIGUES,290110,Selênio,BA,11,6,0,5,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0
AMERICANO DO BRASIL,520085,Selênio,GO,18,3,11,1,3,0,3,0.2,0,1,0,0,0,0,0,0,0,0,0,0
AMETISTA DO SUL,430064,Selênio,RS,31,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMORINOPOLIS,520090,Selênio,GO,8,1,4,2,1,0,1,0.14285714285714285,0,0,1,0,0,0,0,0,0,0,0,0
AMPARO DO SERRA,310250,Selênio,MG,8,2,3,2,1,0,1,0.16666666666666666,0,0,0,0,0,0,0,0,0,0,0,0
AMPERE,410100,Selênio,PR,35,0,14,21,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3
ANAGE,290120,Selênio,BA,4,4,0,0,0,0,0,NA,NA,0,0,0,0,1,0,0,0,0,0,0
ANAHY,410105,Selênio,PR,20,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANAPOLIS,520110,Selênio,GO,75,41,16,8,10,0,10,0.29411764705882354,0,0,55,0,21,13,1,47,8,2,1,5
ANASTACIO,500070,Selênio,MS,14,0,10,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ANAURILANDIA,500080,Selênio,MS,27,0,15,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANCHIETA,320040,Selênio,ES,53,0,17,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
ANCHIETA,420080,Selênio,SC,36,0,10,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANDARAI,290130,Selênio,BA,9,5,0,4,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
ANDRADAS,310260,Selênio,MG,28,18,0,10,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,2
ANDRELANDIA,310280,Selênio,MG,9,1,2,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ANGATUBA,350220,Selênio,SP,4,4,0,0,0,0,0,NA,NA,0,2,0,1,0,0,0,0,0,0,0
ANGELICA,500085,Selênio,MS,42,0,23,19,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ANGELINA,420090,Selênio,SC,30,2,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANGICAL,290140,Selênio,BA,12,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANHANGUERA,520120,Selênio,GO,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANHEMBI,350230,Selênio,SP,79,28,22,27,2,0,2,0.0392156862745098,0,0,1,0,0,0,0,0,0,0,0,0
ANHUMAS,350240,Selênio,SP,23,0,7,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ANICUNS,520130,Selênio,GO,54,17,23,11,3,0,3,0.08108108108108109,0,0,3,0,1,0,0,0,0,0,1,1
ANITA GARIBALDI,420100,Selênio,SC,16,0,5,10,1,0,1,0.0625,0,0,0,0,0,0,0,0,0,0,1,0
ANTAS,290160,Selênio,BA,13,13,0,0,0,0,0,NA,NA,0,1,0,0,0,0,0,0,0,0,0
ANTONIO CARDOSO,290170,Selênio,BA,10,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANTONIO CARLOS,310290,Selênio,MG,62,49,0,13,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0
ANTONIO CARLOS,420120,Selênio,SC,15,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANTONIO DIAS,310300,Selênio,MG,5,0,0,2,3,0,3,0.6,0,0,0,0,0,0,0,0,0,0,0,0
ANTONIO GONCALVES,290180,Selênio,BA,5,5,0,0,0,0,0,NA,NA,1,0,0,0,0,0,0,0,0,0,0
ANTONIO JOAO,500090,Selênio,MS,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANTONIO OLINTO,410130,Selênio,PR,52,1,30,20,1,0,1,0.0196078431372549,0,0,0,0,0,0,0,0,0,0,0,0
ANTONIO PRADO,430080,Selênio,RS,210,8,195,2,4,1,5,0.024752475247524754,0.0049504950495049506,0,3,0,0,0,0,0,0,0,0,2
APARECIDA D'OESTE,350260,Selênio,SP,26,6,10,9,1,0,1,0.05,0,0,0,0,0,0,0,0,0,0,0,0
APARECIDA DE GOIANIA,520140,Selênio,GO,13,4,5,0,4,0,4,0.4444444444444444,0,1,23,1,17,40,0,4,17,0,4,23
APARECIDA DO RIO DOCE,520145,Selênio,GO,6,0,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
APARECIDA DO TABOADO,500100,Selênio,MS,11,0,6,5,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0
APIAI,350270,Selênio,SP,230,4,73,107,46,0,46,0.20353982300884957,0,0,0,0,0,0,0,0,0,0,0,0
APORE,520150,Selênio,GO,5,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
APUAREMA,290195,Selênio,BA,12,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APUCARANA,410140,Selênio,PR,63,0,22,37,4,0,4,0.06349206349206349,0,0,39,6,2,5,0,1,2,0,1,11
AQUIDAUANA,500110,Selênio,MS,52,0,43,9,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
AQUIRAZ,230100,Selênio,CE,1,1,0,0,0,0,0,NA,NA,0,6,0,4,1,0,2,1,0,1,2
ARACAI,310320,Selênio,MG,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARACAJU,280030,Selênio,SE,3,2,0,1,0,0,0,0,0,0,9,0,4,10,0,3,1,1,5,14
ARACARIGUAMA,350275,Selênio,SP,18,0,9,9,0,0,0,0,0,0,0,0,1,9,0,0,1,0,3,3
ARACATU,290200,Selênio,BA,7,5,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ARACI,290210,Selênio,BA,2,2,0,0,0,0,0,NA,NA,0,0,0,0,0,0,1,0,0,0,0
ARACOIABA,230120,Selênio,CE,1,1,0,0,0,0,0,NA,NA,0,0,0,0,1,0,0,0,0,0,0
ARACRUZ,320060,Selênio,ES,21,0,0,19,2,0,2,0.09523809523809523,0,0,0,2,2,1,0,0,0,0,0,6
ARACU,520160,Selênio,GO,8,6,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ARAGARCAS,520170,Selênio,GO,5,1,2,2,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0
ARAGOIANIA,520180,Selênio,GO,25,7,11,4,3,0,3,0.16666666666666666,0,0,1,0,0,0,0,0,0,0,0,0
ARAGUAINA,170210,Selênio,TO,61,0,39,21,1,0,1,0.01639344262295082,0,0,27,0,1,0,0,3,5,0,0,2
ARAGUANA,170215,Selênio,TO,18,0,8,8,2,0,2,0.1111111111111111,0,0,0,0,0,0,0,0,0,0,0,0
ARAGUAPAZ,520215,Selênio,GO,10,0,3,6,1,0,1,0.1,0,0,1,0,0,0,0,0,0,0,0,1
ARAL MOREIRA,500124,Selênio,MS,40,1,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARAMARI,290220,Selênio,BA,5,5,0,0,0,0,0,NA,NA,0,1,0,0,0,0,1,0,0,0,0
ARAMBARE,430085,Selênio,RS,14,0,11,1,2,0,2,0.14285714285714285,0,0,0,0,0,0,0,0,0,0,0,0
ARANDU,350310,Selênio,SP,6,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ARAPEI,350315,Selênio,SP,32,0,24,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARAPIRACA,270030,Selênio,AL,7,0,0,3,4,0,4,0.5714285714285714,0,0,6,1,1,4,0,0,0,0,1,2
ARAPOEMA,170230,Selênio,TO,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARAPONGA,310370,Selênio,MG,23,6,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARAPONGAS,410150,Selênio,PR,50,0,27,23,0,0,0,0,0,0,21,2,0,8,0,1,5,0,2,6
ARAPOTI,410160,Selênio,PR,85,0,45,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
ARAPUA,410165,Selênio,PR,17,0,5,10,2,0,2,0.11764705882352941,0,0,0,0,0,0,0,0,0,0,0,0
ARAQUARI,420130,Selênio,SC,17,0,0,9,8,0,8,0.47058823529411764,0,0,5,1,1,6,0,0,5,0,1,18
ARARENDA,230125,Selênio,CE,1,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
ARARUAMA,330020,Selênio,RJ,42,5,2,27,8,0,8,0.21621621621621623,0,0,4,0,0,1,0,0,1,0,0,1
ARARUNA,410170,Selênio,PR,48,0,30,18,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5
ARATACA,290225,Selênio,BA,22,8,0,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ARATIBA,430090,Selênio,RS,46,1,44,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ARATUBA,230140,Selênio,CE,1,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
ARATUIPE,290230,Selênio,BA,11,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARAUCARIA,410180,Selênio,PR,60,0,30,27,3,0,3,0.05,0,0,5,1,14,8,0,0,1,0,7,12
ARAXA,310400,Selênio,MG,12,4,4,4,0,0,0,0,0,0,9,1,14,4,0,1,0,0,2,10
ARCEBURGO,310410,Selênio,MG,26,14,2,9,1,0,1,0.08333333333333333,0,0,0,0,5,4,0,0,0,0,0,1
ARCO-IRIS,350335,Selênio,SP,21,4,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARCOS,310420,Selênio,MG,25,11,2,0,12,0,12,0.8571428571428571,0,0,3,0,2,1,0,0,0,0,0,3
AREADO,310430,Selênio,MG,2,0,0,1,1,0,1,0.5,0,0,1,0,0,0,0,0,0,0,0,0
AREALVA,350340,Selênio,SP,111,16,35,57,3,0,3,0.031578947368421054,0,0,2,0,0,1,0,0,0,0,0,0
AREIOPOLIS,350360,Selênio,SP,23,9,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARENOPOLIS,520235,Selênio,GO,34,0,27,3,4,0,4,0.11764705882352941,0,0,1,0,0,0,0,0,0,0,0,0
ARIRANHA DO IVAI,410185,Selênio,PR,19,0,9,9,1,0,1,0.05263157894736842,0,0,0,0,0,0,0,0,0,0,0,0
ARMAZEM,420150,Selênio,SC,57,0,9,38,10,0,10,0.17543859649122806,0,0,1,0,0,0,0,0,0,0,0,0
ARRAIAS,170240,Selênio,TO,4,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
ARROIO DO MEIO,430100,Selênio,RS,58,3,54,0,1,0,1,0.01818181818181818,0,0,10,0,0,1,0,0,0,0,0,4
ARROIO DO PADRE,430107,Selênio,RS,1,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
ARROIO DO TIGRE,430120,Selênio,RS,67,7,53,3,4,0,4,0.06666666666666667,0,0,1,0,0,0,0,0,0,0,0,0
ARROIO DOS RATOS,430110,Selênio,RS,38,6,32,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
ARROIO GRANDE,430130,Selênio,RS,42,0,41,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
ARROIO TRINTA,420160,Selênio,SC,18,2,5,8,3,0,3,0.1875,0,0,0,0,0,0,0,0,1,0,0,0
ARUANA,520250,Selênio,GO,23,8,8,4,3,0,3,0.2,0,0,1,0,0,0,0,0,0,0,0,0
ARVOREZINHA,430140,Selênio,RS,114,0,113,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASCURRA,420170,Selênio,SC,20,0,4,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
ASPASIA,350395,Selênio,SP,23,6,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASSAI,410190,Selênio,PR,35,1,11,21,2,0,2,0.058823529411764705,0,0,0,0,0,2,0,0,0,0,0,3
ASSIS,350400,Selênio,SP,23,1,11,10,1,0,1,0.045454545454545456,0,0,5,0,5,2,0,1,0,0,3,3
ASSIS CHATEAUBRIAND,410200,Selênio,PR,168,0,69,99,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
ASTOLFO DUTRA,310460,Selênio,MG,11,9,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
ASTORGA,410210,Selênio,PR,93,9,46,6,32,0,32,0.38095238095238093,0,0,10,0,0,1,0,0,0,0,0,1
ATALAIA,410220,Selênio,PR,18,0,10,8,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
ATALANTA,420180,Selênio,SC,19,0,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATALEIA,310470,Selênio,MG,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATILIO VIVACQUA,320070,Selênio,ES,17,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUGUSTINOPOLIS,170255,Selênio,TO,21,1,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUGUSTO DE LIMA,310480,Selênio,MG,14,3,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUREA,430155,Selênio,RS,35,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AURELINO LEAL,290240,Selênio,BA,18,6,0,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AURIFLAMA,350420,Selênio,SP,15,1,10,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0
AURILANDIA,520260,Selênio,GO,14,2,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AVAI,350430,Selênio,SP,35,16,8,11,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
AVARE,350450,Selênio,SP,19,18,0,1,0,0,0,0,0,0,3,1,5,1,1,0,0,0,0,0
AVELINOPOLIS,520280,Selênio,GO,14,3,8,2,1,0,1,0.09090909090909091,0,0,2,0,0,0,0,0,0,0,0,0
BABACULANDIA,170300,Selênio,TO,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAEPENDI,310490,Selênio,MG,2,0,2,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0
BAIANOPOLIS,290250,Selênio,BA,11,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BALBINOS,350470,Selênio,SP,27,1,9,16,1,0,1,0.038461538461538464,0,0,0,0,0,0,0,0,0,0,0,0
BALDIM,310500,Selênio,MG,4,4,0,0,0,0,0,NA,NA,0,0,0,0,1,0,0,0,0,0,2
BALIZA,520310,Selênio,GO,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BALNEARIO BARRA DO SUL,420205,Selênio,SC,12,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BALNEARIO PICARRAS,421280,Selênio,SC,35,0,2,25,8,0,8,0.22857142857142856,0,0,0,0,0,2,0,0,0,0,0,1
BALNEARIO PINHAL,430163,Selênio,RS,39,0,27,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BALSA NOVA,410230,Selênio,PR,112,0,56,56,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
BAMBUI,310510,Selênio,MG,2,2,0,0,0,0,0,NA,NA,0,9,0,0,0,0,0,0,0,0,0
BANANAL,350490,Selênio,SP,38,4,25,9,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1
BANDEIRANTE,420208,Selênio,SC,22,2,5,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
BANZAE,290265,Selênio,BA,4,4,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
BARAO,430165,Selênio,RS,22,4,16,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
BARAO DE ANTONINA,350500,Selênio,SP,4,4,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
BARAO DE COCAIS,310540,Selênio,MG,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BARAO DE COTEGIPE,430170,Selênio,RS,75,2,70,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
BARAO DO TRIUNFO,430175,Selênio,RS,16,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BARBACENA,310560,Selênio,MG,8,8,0,0,0,0,0,NA,NA,0,0,0,3,1,0,0,1,0,1,2
BARBOSA FERRAZ,410250,Selênio,PR,90,0,47,41,2,0,2,0.022222222222222223,0,0,0,0,0,0,0,0,0,0,0,0
