municipio,codigo_ibge,parâmetro,uf,Total de testes substâncias em geral para cada linha - incluindo MENOR_LQ,Total de inconsistentes,Total de Consistentes não detectados,Total de parâmetros com MENOR_LQ,Total de Consistentes detectados Abaixo do VMP,Total de Consistentes detectados Acima do VMP,Total_Detectados,prop1,prop2,cnae_729404,cnae_729405,cnae_2019399,cnae_2029100,cnae_2033900,cnae_2071100,cnae_2422901,cnae_2449199,cnae_2539001,cnae_2539002,cnae_2599399,cnae_2660400,cnae_2722801,cnae_2722802,cnae_2910701,cnae_2920401,cnae_2945000,cnae_3313902,cnae_3831999
AGUA LIMPA,520020,Chumbo,GO,20,9,5,5,1,0,1,0.09090909090909091,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
AGUA SANTA,430005,Chumbo,RS,20,1,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGUAI,350030,Chumbo,SP,16,0,8,8,0,0,0,0,0,0,0,0,1,0,0,0,0,51,1,3,0,1,0,0,0,0,0,1
AGUAS DA PRATA,350040,Chumbo,SP,81,13,27,40,1,0,1,0.014705882352941176,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
AGUAS DE SAO PEDRO,350060,Chumbo,SP,20,2,8,7,2,1,3,0.16666666666666666,0.05555555555555555,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
AGUAS FORMOSAS,310090,Chumbo,MG,7,7,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
AGUAS FRIAS,420055,Chumbo,SC,30,2,3,22,3,0,3,0.10714285714285714,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AGUAS LINDAS DE GOIAS,520025,Chumbo,GO,9,0,0,3,6,0,6,0.6666666666666666,0,0,0,0,0,0,2,0,0,17,2,7,0,0,0,0,0,0,1,11
AGUAS VERMELHAS,310100,Chumbo,MG,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AGUDO,430010,Chumbo,RS,35,0,31,4,0,0,0,0,0,0,0,0,1,0,0,0,0,12,0,3,0,0,0,0,0,0,0,2
AGUDOS,350070,Chumbo,SP,77,8,27,24,18,0,18,0.2608695652173913,0,0,0,0,5,0,0,0,2,25,0,4,0,0,0,0,0,0,0,3
AGUDOS DO SUL,410030,Chumbo,PR,31,1,19,6,5,0,5,0.16666666666666666,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0
AGUIA BRANCA,320013,Chumbo,ES,21,8,0,10,1,2,3,0.23076923076923078,0.15384615384615385,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AGUIARNOPOLIS,170030,Chumbo,TO,18,0,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIQUARA,290060,Chumbo,BA,15,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AJURICABA,430020,Chumbo,RS,35,0,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,0,0,0,0,0,0
ALAMBARI,350075,Chumbo,SP,18,2,0,15,1,0,1,0.0625,0,0,0,0,3,0,0,0,0,6,0,1,0,1,0,0,0,0,0,0
ALCINOPOLIS,500025,Chumbo,MS,14,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ALCOBACA,290080,Chumbo,BA,12,12,0,0,0,0,0,NA,NA,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,1,0,1
ALECRIM,430030,Chumbo,RS,26,0,20,6,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
ALEGRETE,430040,Chumbo,RS,233,27,193,13,0,0,0,0,0,0,0,1,2,0,0,0,0,44,0,4,0,0,0,0,0,0,0,2
ALEXANIA,520030,Chumbo,GO,19,5,4,7,3,0,3,0.21428571428571427,0,0,0,0,0,0,1,0,0,6,0,3,0,0,0,0,0,0,0,4
ALFENAS,310160,Chumbo,MG,3,3,0,0,0,0,0,NA,NA,0,0,0,1,0,0,0,0,41,2,8,0,0,1,0,0,0,0,9
ALFREDO MARCONDES,350080,Chumbo,SP,25,1,8,15,1,0,1,0.041666666666666664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
ALFREDO VASCONCELOS,310163,Chumbo,MG,12,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
ALFREDO WAGNER,420070,Chumbo,SC,18,0,0,17,1,0,1,0.05555555555555555,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
ALMADINA,290090,Chumbo,BA,16,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ALMAS,170040,Chumbo,TO,20,0,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ALMENARA,310170,Chumbo,MG,9,1,0,0,8,0,8,1,0,1,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,0
ALMIRANTE TAMANDARE,410040,Chumbo,PR,32,0,25,7,0,0,0,0,0,0,0,0,0,1,15,0,0,79,3,15,1,0,0,0,0,1,0,10
ALOANDIA,520050,Chumbo,GO,32,6,14,6,6,0,6,0.23076923076923078,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ALPERCATA,310180,Chumbo,MG,5,1,0,0,4,0,4,1,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0
ALPESTRE,430050,Chumbo,RS,11,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
ALPINOPOLIS,310190,Chumbo,MG,16,16,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,20,0,0,1,0,0,0,0,2,0,0
ALTAIR,350090,Chumbo,SP,30,3,13,13,1,0,1,0.037037037037037035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALTAMIRA DO PARANA,410045,Chumbo,PR,16,0,9,6,1,0,1,0.0625,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
ALTEROSA,310200,Chumbo,MG,6,6,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
ALTO ALEGRE,350110,Chumbo,SP,34,0,16,10,8,0,8,0.23529411764705882,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
ALTO ALEGRE,430055,Chumbo,RS,22,1,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ALTO HORIZONTE,520055,Chumbo,GO,6,2,0,2,2,0,2,0.5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
ALTO JEQUITIBA,315350,Chumbo,MG,18,2,10,1,5,0,5,0.3125,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ALTO PARAISO,412862,Chumbo,PR,40,1,18,21,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
ALTO PARAISO DE GOIAS,520060,Chumbo,GO,22,4,6,9,3,0,3,0.16666666666666666,0,0,0,0,5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
ALTO PARANA,410060,Chumbo,PR,45,2,26,17,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,1,0,1
ALTO PIQUIRI,410070,Chumbo,PR,66,2,33,30,1,0,1,0.015625,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1
ALTO RIO DOCE,310210,Chumbo,MG,53,49,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1
ALTONIA,410050,Chumbo,PR,59,3,27,26,3,0,3,0.05357142857142857,0,0,0,0,0,0,1,0,0,2,1,3,0,1,0,0,0,2,0,0
ALUMINIO,350115,Chumbo,SP,69,1,20,33,14,1,15,0.22058823529411764,0.014705882352941176,0,0,0,0,0,5,0,1,4,1,24,0,0,0,0,0,0,0,0
ALVARENGA,310220,Chumbo,MG,4,0,0,0,4,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALVARES MACHADO,350130,Chumbo,SP,44,3,11,27,3,0,3,0.07317073170731707,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0
ALVARO DE CARVALHO,350140,Chumbo,SP,17,1,7,4,4,1,5,0.3125,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALVINLANDIA,350150,Chumbo,SP,18,6,0,10,2,0,2,0.16666666666666666,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
ALVINOPOLIS,310230,Chumbo,MG,20,0,14,6,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1
ALVORADA,430060,Chumbo,RS,36,0,27,5,1,3,4,0.1111111111111111,0.08333333333333333,0,0,0,4,1,5,0,1,94,4,31,0,0,0,0,0,0,2,12
ALVORADA DE MINAS,310240,Chumbo,MG,1,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALVORADA DO NORTE,520080,Chumbo,GO,32,5,17,3,6,1,7,0.25925925925925924,0.037037037037037035,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
AMAMBAI,500060,Chumbo,MS,14,2,12,0,0,0,0,0,0,0,0,0,2,0,0,0,1,13,0,0,0,0,0,0,0,0,0,1
AMAPORA,410090,Chumbo,PR,20,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
AMARAL FERRADOR,430063,Chumbo,RS,12,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0
AMARALINA,520082,Chumbo,GO,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AMARGOSA,290100,Chumbo,BA,16,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0
AMELIA RODRIGUES,290110,Chumbo,BA,14,7,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,15,0,4,0,0,0,0,0,0,0,2
AMERICANO DO BRASIL,520085,Chumbo,GO,18,3,9,3,3,0,3,0.2,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
AMETISTA DO SUL,430064,Chumbo,RS,32,0,26,6,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
AMORINOPOLIS,520090,Chumbo,GO,8,4,2,1,1,0,1,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMPARO DO SERRA,310250,Chumbo,MG,6,1,3,1,1,0,1,0.2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AMPERE,410100,Chumbo,PR,35,2,16,17,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,7,0,0,0,0,0,0,0,0
ANAGE,290120,Chumbo,BA,4,4,0,0,0,0,0,NA,NA,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0
ANAHY,410105,Chumbo,PR,20,2,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
ANAPOLIS,520110,Chumbo,GO,74,36,13,10,15,0,15,0.39473684210526316,0,0,0,1,3,2,13,0,2,206,3,49,2,0,0,4,0,2,1,26
ANASTACIO,500070,Chumbo,MS,15,4,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,1,2
ANAURILANDIA,500080,Chumbo,MS,27,7,8,12,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
ANCHIETA,320040,Chumbo,ES,54,0,18,36,0,0,0,0,0,0,0,0,2,0,0,0,0,18,1,0,0,0,0,0,0,0,0,2
ANCHIETA,420080,Chumbo,SC,36,0,5,26,5,0,5,0.1388888888888889,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ANDARAI,290130,Chumbo,BA,13,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ANDRADAS,310260,Chumbo,MG,26,16,0,10,0,0,0,0,0,0,0,1,3,0,0,0,0,11,0,3,0,0,0,0,0,0,0,1
ANDRELANDIA,310280,Chumbo,MG,11,3,0,8,0,0,0,0,0,0,0,0,3,0,0,0,1,5,0,1,0,0,0,0,0,0,0,0
ANGATUBA,350220,Chumbo,SP,8,4,0,3,1,0,1,0.25,0,0,0,0,1,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0
ANGELICA,500085,Chumbo,MS,42,10,15,17,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,1,0,1
ANGELIM,260100,Chumbo,PE,2,2,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
ANGELINA,420090,Chumbo,SC,29,2,0,26,1,0,1,0.037037037037037035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANGICAL,290140,Chumbo,BA,14,6,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ANHANGUERA,520120,Chumbo,GO,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ANHEMBI,350230,Chumbo,SP,79,27,20,22,10,0,10,0.19230769230769232,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ANHUMAS,350240,Chumbo,SP,24,0,6,15,3,0,3,0.125,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ANICUNS,520130,Chumbo,GO,55,17,21,13,4,0,4,0.10526315789473684,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,1,0,2
ANITA GARIBALDI,420100,Chumbo,SC,16,3,2,10,1,0,1,0.07692307692307693,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ANTAS,290160,Chumbo,BA,16,16,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ANTONIO CARDOSO,290170,Chumbo,BA,11,5,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANTONIO CARLOS,310290,Chumbo,MG,60,49,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0
ANTONIO CARLOS,420120,Chumbo,SC,15,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
ANTONIO DIAS,310300,Chumbo,MG,5,0,0,2,2,1,3,0.6,0.2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
ANTONIO GONCALVES,290180,Chumbo,BA,7,7,0,0,0,0,0,NA,NA,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ANTONIO JOAO,500090,Chumbo,MS,13,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
ANTONIO OLINTO,410130,Chumbo,PR,52,1,30,20,1,0,1,0.0196078431372549,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
ANTONIO PRADO,430080,Chumbo,RS,210,0,194,16,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,1
APARECIDA D'OESTE,350260,Chumbo,SP,25,7,8,9,1,0,1,0.05555555555555555,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
APARECIDA DE GOIANIA,520140,Chumbo,GO,16,5,7,1,3,0,3,0.2727272727272727,0,1,0,4,2,0,40,1,5,263,20,78,1,0,0,1,0,1,2,37
APARECIDA DO RIO DOCE,520145,Chumbo,GO,6,0,4,1,1,0,1,0.16666666666666666,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
APARECIDA DO TABOADO,500100,Chumbo,MS,11,3,3,5,0,0,0,0,0,0,0,0,1,0,3,1,0,24,1,6,0,0,0,0,0,0,0,0
APIAI,350270,Chumbo,SP,230,6,57,75,89,3,92,0.4107142857142857,0.013392857142857142,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,2
APORE,520150,Chumbo,GO,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1
APUAREMA,290195,Chumbo,BA,16,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
APUCARANA,410140,Chumbo,PR,65,3,28,33,1,0,1,0.016129032258064516,0,0,0,2,8,0,5,0,1,58,1,20,0,6,0,0,0,1,1,5
AQUIDAUANA,500110,Chumbo,MS,53,16,27,10,0,0,0,0,0,0,0,0,1,0,0,0,0,5,2,3,0,0,0,0,0,0,0,1
ARACAI,310320,Chumbo,MG,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ARACAJU,280030,Chumbo,SE,3,2,0,1,0,0,0,0,0,0,0,1,1,0,10,1,0,200,2,37,1,1,0,0,0,0,3,19
ARACARIGUAMA,350275,Chumbo,SP,18,0,9,7,2,0,2,0.1111111111111111,0,0,0,2,2,0,9,0,1,15,0,2,0,0,0,0,0,0,0,5
ARACATU,290200,Chumbo,BA,8,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARACI,290210,Chumbo,BA,3,3,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,2
ARACRUZ,320060,Chumbo,ES,36,0,0,31,5,0,5,0.1388888888888889,0,0,0,4,2,0,1,0,0,103,6,5,0,0,0,0,0,0,0,12
ARACU,520160,Chumbo,GO,8,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
ARAGARCAS,520170,Chumbo,GO,5,1,1,2,1,0,1,0.25,0,0,0,0,0,0,0,0,0,4,1,3,0,0,0,0,0,0,0,2
ARAGOIANIA,520180,Chumbo,GO,25,5,10,6,3,1,4,0.2,0.05,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
ARAGUAINA,170210,Chumbo,TO,113,0,39,68,3,3,6,0.05309734513274336,0.02654867256637168,0,1,0,1,0,0,1,1,56,3,14,0,2,0,0,0,1,1,6
ARAGUANA,170215,Chumbo,TO,21,0,8,11,2,0,2,0.09523809523809523,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ARAGUAPAZ,520215,Chumbo,GO,12,0,4,7,1,0,1,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARAL MOREIRA,500124,Chumbo,MS,40,6,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
ARAMARI,290220,Chumbo,BA,6,6,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ARAMBARE,430085,Chumbo,RS,14,0,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
ARANDU,350310,Chumbo,SP,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
ARANTINA,310360,Chumbo,MG,3,0,0,2,1,0,1,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARAPEI,350315,Chumbo,SP,32,0,19,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARAPIRACA,270030,Chumbo,AL,7,0,0,5,2,0,2,0.2857142857142857,0,0,0,0,0,0,4,0,1,32,1,11,0,0,0,0,0,0,0,4
ARAPOEMA,170230,Chumbo,TO,16,0,4,11,1,0,1,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARAPONGA,310370,Chumbo,MG,22,5,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARAPONGAS,410150,Chumbo,PR,50,3,25,21,1,0,1,0.02127659574468085,0,0,0,1,0,0,8,0,1,68,2,28,1,0,0,0,0,0,0,4
ARAPOTI,410160,Chumbo,PR,85,0,43,42,0,0,0,0,0,0,0,2,0,0,0,0,0,28,0,3,0,0,0,0,0,0,0,4
ARAPUA,410165,Chumbo,PR,17,0,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
ARAQUARI,420130,Chumbo,SC,17,0,0,8,9,0,9,0.5294117647058824,0,0,0,0,3,1,6,2,0,162,22,24,0,0,0,2,0,1,1,8
ARARUAMA,330020,Chumbo,RJ,42,8,2,23,9,0,9,0.2647058823529412,0,0,0,0,2,0,1,0,0,32,0,2,0,0,0,0,0,0,0,6
ARARUNA,410170,Chumbo,PR,48,0,29,19,0,0,0,0,0,0,0,0,0,0,1,0,0,37,2,6,0,0,0,0,0,0,0,0
ARATACA,290225,Chumbo,BA,28,8,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARATIBA,430090,Chumbo,RS,48,0,43,4,1,0,1,0.020833333333333332,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0
ARATUIPE,290230,Chumbo,BA,15,6,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
ARAUCARIA,410180,Chumbo,PR,60,0,30,27,3,0,3,0.05,0,0,0,2,3,0,8,2,0,280,19,28,1,1,0,1,0,0,3,12
ARAXA,310400,Chumbo,MG,10,4,0,6,0,0,0,0,0,0,0,1,0,0,4,0,0,169,4,13,1,0,0,0,0,0,0,3
ARCEBURGO,310410,Chumbo,MG,18,14,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0
ARCO-IRIS,350335,Chumbo,SP,20,5,3,10,2,0,2,0.13333333333333333,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ARCOS,310420,Chumbo,MG,25,5,2,0,18,0,18,0.9,0,0,0,4,1,0,1,0,0,62,1,2,0,0,0,0,0,0,0,1
AREALVA,350340,Chumbo,SP,109,15,33,48,13,0,13,0.13829787234042554,0,0,0,0,1,0,1,0,0,3,0,2,0,0,0,0,0,0,0,0
AREIOPOLIS,350360,Chumbo,SP,23,9,5,7,2,0,2,0.14285714285714285,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0
ARENOPOLIS,520235,Chumbo,GO,36,2,22,8,4,0,4,0.11764705882352941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARIRANHA DO IVAI,410185,Chumbo,PR,18,0,11,6,1,0,1,0.05555555555555555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMAZEM,420150,Chumbo,SC,59,0,5,40,14,0,14,0.23728813559322035,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,2
ARRAIAS,170240,Chumbo,TO,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ARROIO DO MEIO,430100,Chumbo,RS,58,4,50,4,0,0,0,0,0,0,0,1,2,0,1,0,0,23,1,5,0,0,0,0,0,0,0,1
