municipio,codigo_ibge,parâmetro,uf,Total de testes substâncias em geral para cada linha - incluindo MENOR_LQ,Total de inconsistentes,Total de Consistentes não detectados,Total de parâmetros com MENOR_LQ,Total de Consistentes detectados Abaixo do VMP,Total de Consistentes detectados Acima do VMP,Total_Detectados,prop1,prop2,cnae_600001,cnae_891600,cnae_1313800,cnae_1340502,cnae_2019399,cnae_2031200,cnae_2061400,cnae_2033900,cnae_2093200,cnae_2211100,cnae_2212900,cnae_2219600,cnae_2311700,cnae_2342701,cnae_2342702,cnae_2349401,cnae_2349499,cnae_2399199
ADRIANOPOLIS,410020,Bário,PR,36,6,2,10,18,0,18,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFONSO CLAUDIO,320010,Bário,ES,23,0,0,12,11,0,11,0.4782608695652174,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,8,0,0,0
AGROLANDIA,420020,Bário,SC,33,0,0,4,29,0,29,0.8787878787878788,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,8,0,2,0
AGUA BOA,310060,Bário,MG,4,4,0,0,0,0,0,NA,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AGUA BRANCA,250010,Bário,PB,2,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
AGUA CLARA,500020,Bário,MS,32,8,9,12,3,0,3,0.125,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0
AGUA COMPRIDA,310070,Bário,MG,8,2,0,0,6,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGUA DOCE,420040,Bário,SC,28,4,0,1,23,0,23,0.9583333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
AGUA DOCE DO NORTE,320016,Bário,ES,26,0,0,15,11,0,11,0.4230769230769231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AGUA FRIA,290040,Bário,BA,10,10,0,0,0,0,0,NA,NA,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0
AGUA FRIA DE GOIAS,520017,Bário,GO,10,1,3,2,4,0,4,0.4444444444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AGUA LIMPA,520020,Bário,GO,21,8,1,5,7,0,7,0.5384615384615384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AGUA SANTA,430005,Bário,RS,20,1,11,2,5,1,6,0.3157894736842105,0.05263157894736842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
AGUAI,350030,Bário,SP,16,0,2,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,12,0,2,0
AGUAS DA PRATA,350040,Bário,SP,81,12,20,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0
AGUAS DE SANTA BARBARA,350055,Bário,SP,12,0,0,0,12,0,12,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
AGUAS DE SAO PEDRO,350060,Bário,SP,20,2,1,3,14,0,14,0.7777777777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
AGUAS FORMOSAS,310090,Bário,MG,7,6,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,3,0
AGUAS FRIAS,420055,Bário,SC,32,2,0,10,20,0,20,0.6666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGUAS LINDAS DE GOIAS,520025,Bário,GO,13,0,4,4,4,1,5,0.38461538461538464,0.07692307692307693,0,0,0,0,0,0,4,0,0,0,1,7,2,0,3,0,5,0
AGUAS MORNAS,420060,Bário,SC,16,0,0,3,13,0,13,0.8125,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1
AGUAS VERMELHAS,310100,Bário,MG,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
AGUDO,430010,Bário,RS,32,2,0,4,26,0,26,0.8666666666666667,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0
AGUDOS,350070,Bário,SP,80,6,26,14,34,0,34,0.4594594594594595,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,1,0,2,1
AGUDOS DO SUL,410030,Bário,PR,33,11,0,8,14,0,14,0.6363636363636364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0
AGUIA BRANCA,320013,Bário,ES,20,5,1,6,8,0,8,0.5333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGUIARNOPOLIS,170030,Bário,TO,37,2,12,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AIQUARA,290060,Bário,BA,15,11,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AJURICABA,430020,Bário,RS,36,1,23,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
ALAMBARI,350075,Bário,SP,110,2,0,0,108,0,108,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
ALCINOPOLIS,500025,Bário,MS,14,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0
ALCOBACA,290080,Bário,BA,24,23,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALECRIM,430030,Bário,RS,26,2,2,6,16,0,16,0.6666666666666666,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1
ALEGRETE,430040,Bário,RS,232,22,89,59,62,0,62,0.29523809523809524,0,0,0,0,0,1,0,7,0,0,0,0,2,0,0,3,0,1,1
ALEXANIA,520030,Bário,GO,28,7,11,3,7,0,7,0.3333333333333333,0,0,0,0,0,0,0,1,0,0,0,1,2,1,0,15,0,6,1
ALFENAS,310160,Bário,MG,3,3,0,0,0,0,0,NA,NA,0,0,3,2,0,0,2,0,0,0,4,9,6,0,22,0,4,0
ALFREDO MARCONDES,350080,Bário,SP,25,6,8,3,8,0,8,0.42105263157894735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALFREDO VASCONCELOS,310163,Bário,MG,11,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
ALFREDO WAGNER,420070,Bário,SC,27,0,0,5,21,1,22,0.8148148148148148,0.037037037037037035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
ALIANCA DO TOCANTINS,170035,Bário,TO,22,8,0,8,6,0,6,0.42857142857142855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALMADINA,290090,Bário,BA,16,10,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALMAS,170040,Bário,TO,94,42,7,15,30,0,30,0.5769230769230769,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
ALMENARA,310170,Bário,MG,9,1,0,0,8,0,8,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,2,0
ALMIRANTE TAMANDARE,410040,Bário,PR,32,0,14,16,2,0,2,0.0625,0,0,12,0,0,0,0,4,1,1,1,3,12,0,0,2,0,5,13
ALOANDIA,520050,Bário,GO,32,7,9,1,15,0,15,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
ALPERCATA,310180,Bário,MG,5,0,0,0,5,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0
ALPESTRE,430050,Bário,RS,11,1,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
ALPINOPOLIS,310190,Bário,MG,22,16,0,4,2,0,2,0.3333333333333333,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,22,0,0,2
ALTAIR,350090,Bário,SP,30,4,0,12,14,0,14,0.5384615384615384,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ALTAMIRA DO PARANA,410045,Bário,PR,16,0,9,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ALTEROSA,310200,Bário,MG,6,6,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
ALTO ALEGRE,140005,Bário,RR,1,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ALTO ALEGRE,350110,Bário,SP,34,0,0,1,33,0,33,0.9705882352941176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ALTO ALEGRE,430055,Bário,RS,22,1,11,8,2,0,2,0.09523809523809523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
ALTO HORIZONTE,520055,Bário,GO,6,3,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0
ALTO JEQUITIBA,315350,Bário,MG,18,6,6,1,5,0,5,0.4166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALTO PARAISO,412862,Bário,PR,40,13,4,13,10,0,10,0.37037037037037035,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALTO PARAISO DE GOIAS,520060,Bário,GO,24,10,3,9,2,0,2,0.14285714285714285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
ALTO PARANA,410060,Bário,PR,45,18,0,11,9,7,16,0.5925925925925926,0.25925925925925924,0,0,0,1,0,0,1,0,1,0,2,1,0,0,1,0,0,1
ALTO PIQUIRI,410070,Bário,PR,67,6,10,32,19,0,19,0.3114754098360656,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0
ALTO RIO DOCE,310210,Bário,MG,53,50,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ALTO RIO NOVO,320035,Bário,ES,12,0,0,9,3,0,3,0.25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ALTONIA,410050,Bário,PR,59,15,11,17,16,0,16,0.36363636363636365,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,14,0,1,0
ALUMINIO,350115,Bário,SP,68,0,6,20,42,0,42,0.6176470588235294,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0
ALVARENGA,310220,Bário,MG,4,0,0,0,4,0,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ALVARES MACHADO,350130,Bário,SP,44,11,2,7,23,1,24,0.7272727272727273,0.030303030303030304,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,0,0,0
ALVARO DE CARVALHO,350140,Bário,SP,17,0,4,0,13,0,13,0.7647058823529411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ALVINLANDIA,350150,Bário,SP,26,6,0,2,18,0,18,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ALVINOPOLIS,310230,Bário,MG,18,4,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ALVORADA,170070,Bário,TO,43,12,0,2,29,0,29,0.9354838709677419,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,2
ALVORADA,430060,Bário,RS,36,0,0,8,28,0,28,0.7777777777777778,0,0,0,0,0,0,1,32,1,2,0,3,12,3,0,14,0,5,2
ALVORADA DE MINAS,310240,Bário,MG,1,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALVORADA DO NORTE,520080,Bário,GO,32,6,12,2,12,0,12,0.46153846153846156,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0
AMAMBAI,500060,Bário,MS,14,8,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,2,0,1,0
AMAPORA,410090,Bário,PR,20,10,0,5,5,0,5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMARAL FERRADOR,430063,Bário,RS,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
AMARALINA,520082,Bário,GO,3,2,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMARGOSA,290100,Bário,BA,16,12,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AMELIA RODRIGUES,290110,Bário,BA,14,13,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,2,0
AMERICANO DO BRASIL,520085,Bário,GO,20,3,10,0,6,1,7,0.4117647058823529,0.058823529411764705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
AMETISTA DO SUL,430064,Bário,RS,32,0,0,10,22,0,22,0.6875,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
AMORINOPOLIS,520090,Bário,GO,8,3,0,0,5,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AMPARO DO SERRA,310250,Bário,MG,7,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AMPERE,410100,Bário,PR,35,0,4,31,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0
ANAGE,290120,Bário,BA,9,8,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANAHY,410105,Bário,PR,20,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANAPOLIS,520110,Bário,GO,70,30,6,5,29,0,29,0.725,0,0,0,1,0,1,3,17,2,3,1,12,18,8,3,77,0,17,5
ANASTACIO,500070,Bário,MS,14,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,18,0,1,0
ANAURILANDIA,500080,Bário,MS,27,20,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
ANCHIETA,320040,Bário,ES,50,0,14,23,13,0,13,0.26,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,1,0
ANCHIETA,420080,Bário,SC,36,0,4,2,30,0,30,0.8333333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANDARAI,290130,Bário,BA,13,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
ANDRADAS,310260,Bário,MG,28,16,0,11,0,1,1,0.08333333333333333,0.08333333333333333,0,0,0,0,1,0,7,0,0,0,1,1,0,0,83,3,3,3
ANDRELANDIA,310280,Bário,MG,11,3,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0
ANGATUBA,350220,Bário,SP,63,4,0,0,59,0,59,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,25,0,3,0
ANGELICA,500085,Bário,MS,42,35,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18,0,1,0
ANGELIM,260100,Bário,PE,2,2,0,0,0,0,0,NA,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ANGELINA,420090,Bário,SC,29,2,0,12,15,0,15,0.5555555555555556,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ANGICAL,290140,Bário,BA,14,11,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
ANHANGUERA,520120,Bário,GO,3,1,1,0,1,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
ANHEMBI,350230,Bário,SP,79,26,6,8,39,0,39,0.7358490566037735,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ANHUMAS,350240,Bário,SP,24,2,0,7,15,0,15,0.6818181818181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
ANICUNS,520130,Bário,GO,55,13,13,8,21,0,21,0.5,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,18,0,1,0
ANITA GARIBALDI,420100,Bário,SC,17,14,1,1,1,0,1,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0
ANTAS,290160,Bário,BA,16,16,0,0,0,0,0,NA,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ANTONIO CARDOSO,290170,Bário,BA,11,10,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
ANTONIO CARLOS,310290,Bário,MG,62,49,0,13,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,0,2,0,0,0
ANTONIO CARLOS,420120,Bário,SC,21,1,0,1,19,0,19,0.95,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
ANTONIO DIAS,310300,Bário,MG,5,0,0,2,3,0,3,0.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ANTONIO GONCALVES,290180,Bário,BA,7,7,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ANTONIO JOAO,500090,Bário,MS,13,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
ANTONIO OLINTO,410130,Bário,PR,51,15,4,7,25,0,25,0.6944444444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
ANTONIO PRADO,430080,Bário,RS,210,8,153,47,2,0,2,0.009900990099009901,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0
APARECIDA D'OESTE,350260,Bário,SP,26,9,0,0,17,0,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APARECIDA DE GOIANIA,520140,Bário,GO,26,16,5,0,5,0,5,0.5,0,0,2,1,0,4,1,29,0,5,5,25,20,17,0,16,0,29,18
APARECIDA DO RIO DOCE,520145,Bário,GO,6,0,3,1,2,0,2,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APARECIDA DO RIO NEGRO,170110,Bário,TO,4,0,0,2,2,0,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
APARECIDA DO TABOADO,500100,Bário,MS,11,1,5,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,18,0,2,0
APERIBE,330015,Bário,RJ,2,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0
APIACA,320050,Bário,ES,12,0,0,6,6,0,6,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APIAI,350270,Bário,SP,229,4,28,43,154,0,154,0.6844444444444444,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0
APORA,290190,Bário,BA,1,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0
APORE,520150,Bário,GO,4,0,0,2,2,0,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
APUAREMA,290195,Bário,BA,16,12,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APUCARANA,410140,Bário,PR,65,1,22,32,10,0,10,0.15625,0,0,0,0,6,2,1,14,0,5,2,16,13,2,0,1,0,1,2
AQUIDAUANA,500110,Bário,MS,53,21,22,10,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,2,0,0,11,0,0,0
AQUIRAZ,230100,Bário,CE,1,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,3,0,0,1,3,4,1,0,26,0,2,2
ARACAI,310320,Bário,MG,5,0,2,0,3,0,3,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARACAJU,280030,Bário,SE,3,2,0,0,1,0,1,1,0,19,4,1,1,1,2,41,0,1,0,18,27,1,3,6,0,43,2
ARACARIGUAMA,350275,Bário,SP,18,0,0,6,12,0,12,0.6666666666666666,0,0,1,0,2,2,0,1,0,2,0,1,3,1,0,1,0,0,3
ARACATU,290200,Bário,BA,8,6,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ARACI,290210,Bário,BA,3,3,0,0,0,0,0,NA,NA,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
ARACOIABA,230120,Bário,CE,1,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
ARACRUZ,320060,Bário,ES,42,0,0,30,12,0,12,0.2857142857142857,0,27,1,0,0,4,1,4,0,1,0,2,6,0,0,2,0,4,4
ARACU,520160,Bário,GO,8,4,0,0,4,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ARAGARCAS,520170,Bário,GO,5,1,0,1,3,0,3,0.75,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0
ARAGOIANIA,520180,Bário,GO,27,4,6,4,13,0,13,0.5652173913043478,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
ARAGOMINAS,170130,Bário,TO,11,0,0,7,4,0,4,0.36363636363636365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARAGUACEMA,170190,Bário,TO,8,0,0,4,4,0,4,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
ARAGUACU,170200,Bário,TO,14,4,0,4,6,0,6,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
ARAGUAINA,170210,Bário,TO,289,3,11,21,254,0,254,0.8881118881118881,0,0,0,0,0,0,0,11,0,1,0,14,8,5,3,21,0,5,1
ARAGUANA,170215,Bário,TO,51,0,3,8,40,0,40,0.7843137254901961,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ARAGUAPAZ,520215,Bário,GO,12,2,4,0,6,0,6,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
ARAL MOREIRA,500124,Bário,MS,40,23,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0
ARAMARI,290220,Bário,BA,6,6,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
ARAMBARE,430085,Bário,RS,13,0,1,3,9,0,9,0.6923076923076923,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ARANDU,350310,Bário,SP,22,5,1,5,11,0,11,0.6470588235294118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ARAPEI,350315,Bário,SP,32,0,6,25,1,0,1,0.03125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARAPIRACA,270030,Bário,AL,11,0,0,1,10,0,10,0.9090909090909091,0,0,1,0,0,0,1,13,0,0,2,15,6,0,0,8,0,3,0
ARAPOEMA,170230,Bário,TO,28,0,3,6,19,0,19,0.6785714285714286,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ARAPONGA,310370,Bário,MG,22,5,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARAPONGAS,410150,Bário,PR,50,0,20,22,8,0,8,0.16,0,0,0,4,0,1,2,8,0,0,0,12,14,5,0,1,0,8,0
ARAPOTI,410160,Bário,PR,79,23,12,21,23,0,23,0.4107142857142857,0,0,0,0,0,2,0,0,0,1,0,2,3,0,0,3,0,1,0
ARAPUA,410165,Bário,PR,17,0,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARAQUARI,420130,Bário,SC,46,0,0,0,46,0,46,1,0,0,3,0,0,0,6,0,1,2,1,2,4,5,0,2,1,2,3
ARARENDA,230125,Bário,CE,1,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ARARUAMA,330020,Bário,RJ,42,20,0,2,20,0,20,0.9090909090909091,0,0,3,0,0,0,1,3,0,1,0,1,8,1,0,1,0,12,1
ARARUNA,410170,Bário,PR,48,0,26,19,3,0,3,0.0625,0,0,0,0,0,0,0,2,0,1,0,1,1,0,0,0,0,0,0
ARATACA,290225,Bário,BA,28,22,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARATIBA,430090,Bário,RS,48,1,34,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,1
ARATUBA,230140,Bário,CE,1,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARATUIPE,290230,Bário,BA,15,11,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,28,0
