municipio,codigo_ibge,parâmetro,uf,Total de testes substâncias em geral para cada linha - incluindo MENOR_LQ,Total de inconsistentes,Total de Consistentes não detectados,Total de parâmetros com MENOR_LQ,Total de Consistentes detectados Abaixo do VMP,Total de Consistentes detectados Acima do VMP,Total_Detectados,consistente,prop1,prop2,cnae_161001,cnae_1071600,cnae_1072402,cnae_2022300,cnae_2029100,cnae_2031200,cnae_2072000,cnae_2091600,cnae_2093200,total_cnaes
JOAO PINHEIRO,313630,Acrilamida,MG,7,0,0,0,7,0,7,1,1,0,5,0,0,0,55,0,0,0,0,60
JOAQUIM FELICIO,313640,Acrilamida,MG,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
JOAQUIM TAVORA,411280,Acrilamida,PR,74,0,25,48,1,0,1,1,0.013513513513513514,0,0,0,0,0,0,0,0,0,0,0
JORDANIA,313650,Acrilamida,MG,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
JOSE BOITEUX,420915,Acrilamida,SC,20,0,2,18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
JOSE RAYDAN,313655,Acrilamida,MG,4,4,0,0,0,0,0,0,NA,NA,1,0,0,0,0,0,0,0,0,1
JUATUBA,313665,Acrilamida,MG,29,10,13,1,5,0,5,1,0.2631578947368421,0,0,0,0,0,0,0,0,0,0,0
JUCURUCU,291845,Acrilamida,BA,1,1,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0
JULIO DE CASTILHOS,431120,Acrilamida,RS,42,0,42,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,3
JUNDIAI DO SUL,411290,Acrilamida,PR,15,0,5,10,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
JUPIA,420917,Acrilamida,SC,22,4,5,11,2,0,2,1,0.1111111111111111,0,1,0,0,0,0,0,0,0,0,1
JUQUIA,352610,Acrilamida,SP,47,1,19,26,1,0,1,1,0.021739130434782608,0,1,0,0,0,2,0,0,0,0,3
JUQUITIBA,352620,Acrilamida,SP,38,4,12,22,0,0,0,1,0,0,2,0,0,0,2,0,0,0,0,4
JURAMENTO,313680,Acrilamida,MG,4,3,0,1,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,5
JURANDA,411295,Acrilamida,PR,36,0,16,18,2,0,2,1,0.05555555555555555,0,1,0,0,0,0,0,0,0,0,1
