municipio,codigo_ibge,parâmetro,uf,Total de testes substâncias em geral para cada linha - incluindo MENOR_LQ,Total de inconsistentes,Total de Consistentes não detectados,Total de parâmetros com MENOR_LQ,Total de Consistentes detectados Abaixo do VMP,Total de Consistentes detectados Acima do VMP,Total_Detectados,prop1,prop2,cnae_111301,cnae_111302,cnae_111303,cnae_111399,cnae_112101,cnae_112102,cnae_112199,cnae_113000,cnae_114800,cnae_115600,cnae_116401,cnae_116402,cnae_116403,cnae_116499,cnae_119901,cnae_119902,cnae_119903,cnae_119904,cnae_119905,cnae_119906,cnae_119907,cnae_119908,cnae_119909,cnae_119999,cnae_121101,cnae_121102,cnae_122900,cnae_131800,cnae_132600,cnae_133401,cnae_133402,cnae_133403,cnae_133404,cnae_133405,cnae_133406,cnae_133407,cnae_133408,cnae_133409,cnae_133410,cnae_133411,cnae_133499,cnae_134200,cnae_135100,cnae_139301,cnae_139302,cnae_139303,cnae_139304,cnae_139305,cnae_139306,cnae_139399,cnae_141501,cnae_141502,cnae_142300,cnae_151201,cnae_151202,cnae_151203,cnae_152101,cnae_152102,cnae_152103,cnae_153901,cnae_153902,cnae_154700,cnae_155501,cnae_155502,cnae_155503,cnae_155504,cnae_155505,cnae_159899,cnae_161001,cnae_161003,cnae_210101,cnae_210102,cnae_210103,cnae_210104,cnae_210105,cnae_210106,cnae_210108,cnae_220902,cnae_1013901,cnae_1052000,cnae_2012600,cnae_2013401,cnae_2013402,cnae_2019399,cnae_2092401,cnae_2092402,cnae_2110600,cnae_2121101,cnae_2122000,cnae_3839401
SAO FRANCISCO DE ASSIS,431810,Nitrato (como N),RS,51,2,1,0,48,0,48,0.9795918367346939,0,3,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,9,4,0,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0
SAO FRANCISCO DE ITABAPOANA,330475,Nitrato (como N),RJ,8,1,4,1,2,0,2,0.2857142857142857,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0
SAO FRANCISCO DE PAULA,316120,Nitrato (como N),MG,6,6,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SAO FRANCISCO DE PAULA,431820,Nitrato (como N),RS,26,9,8,0,9,0,9,0.5294117647058824,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8,1,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,11,3,0,0,0,0,0,1,0,0,0,0,1,4,0,1,41,18,0,51,0,0,2,0,0,1,7,0,0,0,0,0,0,0,0,0,0
SAO FRANCISCO DE SALES,316130,Nitrato (como N),MG,8,6,0,0,2,0,2,1,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
SAO GABRIEL DA PALHA,320470,Nitrato (como N),ES,8,0,0,1,7,0,7,0.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,52,0,0,0,0,0,0,2,0,2,7,0,0,0,0,0,0,0,0,0,0
SAO GERALDO,316150,Nitrato (como N),MG,2,2,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,10,0,0,0,0,0,0,0,0,0,0
SAO GERALDO DO ARAGUAIA,150745,Nitrato (como N),PA,12,6,0,0,6,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,3,0,11,0,0,0,0,0,0,0,0,0,0
SAO GONCALO DO ABAETE,316170,Nitrato (como N),MG,2,2,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,9,0,0,0,0,0,21,1,3,6,0,0,0,0,0,0,0,0,0,0
SAO GONCALO DO AMARANTE,231240,Nitrato (como N),CE,29,28,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,3,0,2,0,0,0,0,2,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,2,0,0,2,5,7,0,0,1,4,0,0,3,1,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,1,0,1
SAO GONCALO DO PARA,316180,Nitrato (como N),MG,9,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,13,0,0,0,0,0,0,1,0,13,16,0,1,0,0,0,0,0,0,0,0
SAO GONCALO DO SAPUCAI,316200,Nitrato (como N),MG,7,7,0,0,0,0,0,NA,NA,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,8,22,0,0,0,0,0,0,0,0,0,1
SAO GOTARDO,316210,Nitrato (como N),MG,50,30,0,20,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,21,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0,7,3,0,0,0,0,0,0,2,0,0,0,0,1,0,11,96,1,0,0,0,0,0,3,0,0,9,0,0,2,0,0,0,0,0,0,0
SAO JERONIMO,431840,Nitrato (como N),RS,16,0,0,0,16,0,16,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,12,12,1,0,0,0,0,1,0,4,2,0,0,2,0,0,0,1,1,0,0
SAO JOAO,261320,Nitrato (como N),PE,3,3,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
SAO JOAO,412480,Nitrato (como N),PR,25,4,7,2,12,0,12,0.5714285714285714,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
SAO JOAO D'ALIANCA,522000,Nitrato (como N),GO,57,9,22,6,20,0,20,0.4166666666666667,0,1,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,10,0,0,0,0,0,0,0,2,2,0,0,0,1,0,1,17,2,0,0,0,0,1,1,0,0,3,0,0,1,0,0,0,0,0,0,0
SAO JOAO DA BOA VISTA,354910,Nitrato (como N),SP,31,5,0,3,23,0,23,0.8846153846153846,0,5,275,0,4,1,0,4,158,0,17,0,0,0,8,0,0,131,1,16,2,0,0,2,51,160,0,7,12,2,0,4,0,6,0,0,0,1,1,2,0,11,277,0,0,0,0,0,0,0,7,2,0,2,713,123,14,4,30,1,1,4,4,12,0,2,1,1,0,5,38,18,0,0,0,1,0,0,0,3,6,0,0,4,1,0,0,0,0,0,0
SAO JOAO DA PARAUNA,522005,Nitrato (como N),GO,21,5,3,0,13,0,13,0.8125,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0
SAO JOAO DA PONTE,316240,Nitrato (como N),MG,48,26,0,2,17,3,20,0.9090909090909091,0.13636363636363635,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
SAO JOAO DA URTIGA,431842,Nitrato (como N),RS,52,0,1,0,51,0,51,0.9807692307692307,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
