municipio,codigo_ibge,parâmetro,uf,Total de testes substâncias em geral para cada linha - incluindo MENOR_LQ,Total de inconsistentes,Total de Consistentes não detectados,Total de parâmetros com MENOR_LQ,Total de Consistentes detectados Abaixo do VMP,Total de Consistentes detectados Acima do VMP,Total_Detectados,prop1,prop2,cnae_111301,cnae_111302,cnae_111303,cnae_111399,cnae_112101,cnae_112102,cnae_112199,cnae_113000,cnae_114800,cnae_115600,cnae_116401,cnae_116402,cnae_116403,cnae_116499,cnae_119901,cnae_119902,cnae_119903,cnae_119904,cnae_119905,cnae_119906,cnae_119907,cnae_119908,cnae_119909,cnae_119999,cnae_121101,cnae_121102,cnae_122900,cnae_131800,cnae_132600,cnae_133401,cnae_133402,cnae_133403,cnae_133404,cnae_133405,cnae_133406,cnae_133407,cnae_133408,cnae_133409,cnae_133410,cnae_133411,cnae_133499,cnae_134200,cnae_135100,cnae_139301,cnae_139302,cnae_139303,cnae_139304,cnae_139305,cnae_139306,cnae_139399,cnae_141501,cnae_141502,cnae_142300,cnae_161001,cnae_161003,cnae_210101,cnae_210102,cnae_210103,cnae_210104,cnae_210105,cnae_210106,cnae_729404,cnae_729405,cnae_1340502,cnae_1510600,cnae_1610205,cnae_2019399,cnae_2029100,cnae_2051700,cnae_2093200,cnae_2443100,cnae_2449199,cnae_2452100,cnae_2532201,cnae_2539002,cnae_2592601,cnae_2592602,cnae_2733300,cnae_3831999
ADRIANOPOLIS,410020,Cobre,PR,33,2,21,8,2,0,2,0.06451612903225806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,9,4,0,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
AFONSO CLAUDIO,320010,Cobre,ES,17,0,0,13,4,0,4,0.23529411764705882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
AGROLANDIA,420020,Cobre,SC,16,0,0,8,8,0,8,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,4,2,0,0,0
AGUA BOA,310060,Cobre,MG,4,4,0,0,0,0,0,NA,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AGUA CLARA,500020,Cobre,MS,22,10,0,11,1,0,1,0.08333333333333333,0,2,2,0,0,0,0,0,2,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,19,0,2,16,31,0,7,0,0,4,0,0,0,1,0,0,43,0,1,0,0,0,0,0,0,0,0,0
AGUA COMPRIDA,310070,Cobre,MG,8,3,0,0,5,0,5,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGUA DOCE,420040,Cobre,SC,26,2,1,16,7,0,7,0.2916666666666667,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2,18,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,2
AGUA DOCE DO NORTE,320016,Cobre,ES,12,0,0,9,3,0,3,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,7,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1
AGUA FRIA,290040,Cobre,BA,10,10,0,0,0,0,0,NA,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,13,1,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AGUA FRIA DE GOIAS,520017,Cobre,GO,12,4,0,3,5,0,5,0.625,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGUA LIMPA,520020,Cobre,GO,21,9,2,8,2,0,2,0.16666666666666666,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGUA SANTA,430005,Cobre,RS,20,1,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0
AGUAI,350030,Cobre,SP,12,0,1,10,1,0,1,0.08333333333333333,0,2,200,1,13,15,0,4,326,0,45,1,0,0,22,0,0,39,0,4,33,0,0,6,37,80,3,5,408,0,0,2,0,9,0,0,0,0,1,19,0,55,18,0,0,0,0,0,0,0,5,1,1,6,4,72,30,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,1,3,0,0,1
AGUAS DA PRATA,350040,Cobre,SP,60,11,15,33,1,0,1,0.02040816326530612,0,0,38,0,0,0,0,0,6,0,3,0,0,0,2,0,0,116,1,1,0,0,0,0,15,38,8,2,0,0,0,1,0,0,0,0,0,0,0,0,0,5,69,0,0,0,0,0,0,0,0,1,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AGUAS DE SANTA BARBARA,350055,Cobre,SP,12,0,0,8,4,0,4,0.3333333333333333,0,4,55,0,1,0,0,0,146,0,105,0,0,0,1,0,0,1,0,0,2,0,0,0,7,19,0,2,29,2,0,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,8,36,0,7,0,1,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
AGUAS DE SAO PEDRO,350060,Cobre,SP,11,5,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGUAS FORMOSAS,310090,Cobre,MG,7,7,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
AGUAS FRIAS,420055,Cobre,SC,32,2,4,18,8,0,8,0.26666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGUAS LINDAS DE GOIAS,520025,Cobre,GO,14,1,0,0,13,0,13,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,11
AGUAS MORNAS,420060,Cobre,SC,18,0,0,14,4,0,4,0.2222222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
AGUAS VERMELHAS,310100,Cobre,MG,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,8,8,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGUDO,430010,Cobre,RS,35,2,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,2
AGUDOS,350070,Cobre,SP,80,34,11,33,2,0,2,0.043478260869565216,0,0,18,0,2,0,0,0,120,0,12,5,0,0,4,1,0,0,0,1,9,0,5,1,6,71,0,1,16,0,0,1,0,1,0,0,0,0,1,0,0,2,3,0,0,0,0,0,0,1,1,0,1,4,1,21,65,0,3,0,0,1,0,0,0,0,0,0,5,0,0,0,2,3,3,0,0,1,0,3
AGUDOS DO SUL,410030,Cobre,PR,31,6,8,13,4,0,4,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGUIA BRANCA,320013,Cobre,ES,16,6,0,4,6,0,6,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGUIARNOPOLIS,170030,Cobre,TO,28,0,5,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIQUARA,290060,Cobre,BA,15,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AJURICABA,430020,Cobre,RS,36,1,35,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALAMBARI,350075,Cobre,SP,80,2,0,68,10,0,10,0.1282051282051282,0,0,46,2,1,0,0,1,7,0,4,0,0,0,3,2,0,0,0,6,5,0,1,1,9,27,0,5,10,2,0,2,0,2,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,3,19,0,1,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0
ALCINOPOLIS,500025,Cobre,MS,14,3,5,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ALCOBACA,290080,Cobre,BA,12,12,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1
ALECRIM,430030,Cobre,RS,26,2,18,2,4,0,4,0.16666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ALEGRETE,430040,Cobre,RS,233,28,201,3,1,0,1,0.004878048780487805,0,33,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,44,2,0,0,0,2,0,0,0,0,2,0,1,2,0,0,0,0,0,3,0,1,0,0,2
ALEXANIA,520030,Cobre,GO,30,7,2,11,10,0,10,0.43478260869565216,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,15,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4
ALFENAS,310160,Cobre,MG,2,2,0,0,0,0,0,NA,NA,1,1,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,5,30,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,2,7,2,1,2,2,9
ALFREDO MARCONDES,350080,Cobre,SP,25,12,3,8,2,0,2,0.15384615384615385,0,0,46,0,0,28,0,0,1,0,0,7,0,0,4,0,0,4,1,14,1,0,0,2,28,45,0,1,1,1,0,0,0,0,2,0,0,1,1,1,0,2,4,0,0,0,0,0,0,0,1,0,1,1,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ALFREDO VASCONCELOS,310163,Cobre,MG,12,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALFREDO WAGNER,420070,Cobre,SC,18,0,1,13,3,1,4,0.2222222222222222,0.05555555555555555,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALIANCA DO TOCANTINS,170035,Cobre,TO,15,1,0,12,2,0,2,0.14285714285714285,0,1,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALMADINA,290090,Cobre,BA,16,7,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALMAS,170040,Cobre,TO,50,3,10,32,5,0,5,0.10638297872340426,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ALMENARA,310170,Cobre,MG,8,1,0,0,7,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,1,6,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ALMIRANTE TAMANDARE,410040,Cobre,PR,32,3,11,13,5,0,5,0.1724137931034483,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,5,3,0,1,5,10
ALOANDIA,520050,Cobre,GO,32,9,5,4,14,0,14,0.6086956521739131,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALPERCATA,310180,Cobre,MG,5,2,0,0,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALPESTRE,430050,Cobre,RS,11,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0
ALPINOPOLIS,310190,Cobre,MG,8,8,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
ALTAIR,350090,Cobre,SP,30,3,1,19,7,0,7,0.25925925925925924,0,0,14,0,0,0,0,0,171,0,10,12,0,0,0,0,0,0,0,0,0,1,1,0,0,5,0,0,96,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,55,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ALTAMIRA DO PARANA,410045,Cobre,PR,16,0,9,6,1,0,1,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALTEROSA,310200,Cobre,MG,5,5,0,0,0,0,0,NA,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ALTO ALEGRE,350110,Cobre,SP,34,6,6,12,10,0,10,0.35714285714285715,0,3,30,0,0,0,0,0,964,0,2,29,0,0,3,0,0,5,0,0,4,0,19,9,16,11,0,0,0,0,0,28,0,1,0,0,0,1,1,0,0,4,106,0,0,0,0,0,0,40,2,0,0,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALTO ALEGRE,430055,Cobre,RS,22,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
