municipio,codigo_ibge,parâmetro,uf,Total de testes substâncias em geral para cada linha - incluindo MENOR_LQ,Total de inconsistentes,Total de Consistentes não detectados,Total de parâmetros com MENOR_LQ,Total de Consistentes detectados Abaixo do VMP,Total de Consistentes detectados Acima do VMP,Total_Detectados,prop1,prop2,cnae_729404,cnae_2019399,cnae_2073800,cnae_2092401,cnae_2092403,cnae_2093200,cnae_2094100,cnae_2110600,cnae_2121101,cnae_2122000,cnae_2449199,cnae_2452100,cnae_2539001,cnae_3831999,total_canes
ALECRIM,430030,Antimônio,RS,16,0,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
ALEGRETE,430040,Antimônio,RS,230,26,201,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,44,2,48
ALEXANIA,520030,Antimônio,GO,25,6,4,4,11,0,11,0.5789473684210527,0,0,0,0,0,0,0,0,1,0,0,0,0,6,4,11
ALFENAS,310160,Antimônio,MG,3,3,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,1,1,0,0,2,41,9,54
ALFREDO MARCONDES,350080,Antimônio,SP,25,7,5,12,1,0,1,0.05555555555555555,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
ALFREDO VASCONCELOS,310163,Antimônio,MG,12,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
ALFREDO WAGNER,420070,Antimônio,SC,24,0,1,21,2,0,2,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5
ALMADINA,290090,Antimônio,BA,12,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
ALMAS,170040,Antimônio,TO,20,0,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
ALMENARA,310170,Antimônio,MG,8,1,0,0,7,0,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,11
ALMIRANTE TAMANDARE,410040,Antimônio,PR,32,0,24,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,79,10,91
ALOANDIA,520050,Antimônio,GO,32,8,12,4,8,0,8,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
ALPERCATA,310180,Antimônio,MG,6,0,2,0,4,0,4,0.6666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
ALPESTRE,430050,Antimônio,RS,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
ALPINOPOLIS,310190,Antimônio,MG,22,16,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20
ALTAIR,350090,Antimônio,SP,30,3,7,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALTAMIRA DO PARANA,410045,Antimônio,PR,17,0,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
ALTEROSA,310200,Antimônio,MG,8,8,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
ALTO ALEGRE,350110,Antimônio,SP,34,2,18,6,8,0,8,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
ALTO ALEGRE,430055,Antimônio,RS,22,1,20,0,1,0,1,0.047619047619047616,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
ALTO HORIZONTE,520055,Antimônio,GO,6,1,2,2,1,0,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5
ALTO JEQUITIBA,315350,Antimônio,MG,16,2,10,1,3,0,3,0.21428571428571427,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
ALTO PARAISO,412862,Antimônio,PR,40,0,19,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
ALTO PARAISO DE GOIAS,520060,Antimônio,GO,24,5,7,8,4,0,4,0.21052631578947367,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
ALTO PARANA,410060,Antimônio,PR,45,0,27,18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,5
ALTO PIQUIRI,410070,Antimônio,PR,67,0,35,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,6
ALTO RIO DOCE,310210,Antimônio,MG,49,46,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4
ALTONIA,410050,Antimônio,PR,59,0,30,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
ALUMINIO,350115,Antimônio,SP,74,28,14,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,6
ALVARENGA,310220,Antimônio,MG,4,0,0,1,2,1,3,0.75,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALVARES MACHADO,350130,Antimônio,SP,44,11,8,21,4,0,4,0.12121212121212122,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6
ALVARO DE CARVALHO,350140,Antimônio,SP,15,4,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
ALVINLANDIA,350150,Antimônio,SP,8,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
ALVINOPOLIS,310230,Antimônio,MG,20,0,14,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,1,8
ALVORADA,170070,Antimônio,TO,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4
ALVORADA,430060,Antimônio,RS,22,0,19,3,0,0,0,0,0,0,0,1,0,0,2,0,0,2,2,1,5,94,12,119
ALVORADA DE MINAS,310240,Antimônio,MG,2,2,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALVORADA DO NORTE,520080,Antimônio,GO,32,8,12,2,8,2,10,0.4166666666666667,0.08333333333333333,0,0,0,0,0,0,0,0,0,1,0,0,3,0,4
AMAMBAI,500060,Antimônio,MS,14,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,1,15
AMAPORA,410090,Antimônio,PR,20,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
AMARAL FERRADOR,430063,Antimônio,RS,12,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
AMARALINA,520082,Antimônio,GO,3,3,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
AMARGOSA,290100,Antimônio,BA,13,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
AMELIA RODRIGUES,290110,Antimônio,BA,11,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15,2,18
AMERICANO DO BRASIL,520085,Antimônio,GO,20,3,8,1,8,0,8,0.47058823529411764,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2
AMETISTA DO SUL,430064,Antimônio,RS,19,0,15,4,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,8,0,11
AMORINOPOLIS,520090,Antimônio,GO,8,3,1,1,2,1,3,0.6,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMPARO DO SERRA,310250,Antimônio,MG,8,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
AMPERE,410100,Antimônio,PR,35,0,15,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,8
ANAGE,290120,Antimônio,BA,4,4,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
ANAHY,410105,Antimônio,PR,20,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
ANAPOLIS,520110,Antimônio,GO,82,44,11,6,21,0,21,0.5526315789473685,0,0,1,1,0,0,3,0,24,47,10,2,6,206,26,326
ANASTACIO,500070,Antimônio,MS,15,1,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2,15
ANAURILANDIA,500080,Antimônio,MS,27,0,15,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
ANCHIETA,320040,Antimônio,ES,52,0,16,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2,20
ANCHIETA,420080,Antimônio,SC,36,0,9,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
ANDARAI,290130,Antimônio,BA,9,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2
ANDRADAS,310260,Antimônio,MG,30,18,2,8,2,0,2,0.16666666666666666,0,0,1,1,0,0,0,0,0,1,0,0,0,11,1,15
ANDRELANDIA,310280,Antimônio,MG,13,3,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,6
ANGATUBA,350220,Antimônio,SP,4,4,0,0,0,0,0,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,13,0,14
ANGELICA,500085,Antimônio,MS,42,1,23,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,6
ANGELINA,420090,Antimônio,SC,30,2,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANGICAL,290140,Antimônio,BA,12,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
ANHANGUERA,520120,Antimônio,GO,3,1,0,1,1,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
ANHEMBI,350230,Antimônio,SP,79,47,12,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
ANHUMAS,350240,Antimônio,SP,23,4,4,13,2,0,2,0.10526315789473684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANICUNS,520130,Antimônio,GO,55,17,9,13,16,0,16,0.42105263157894735,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,10
ANITA GARIBALDI,420100,Antimônio,SC,17,0,5,11,1,0,1,0.058823529411764705,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
ANTAS,290160,Antimônio,BA,13,13,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANTONIO CARDOSO,290170,Antimônio,BA,10,5,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
ANTONIO CARLOS,310290,Antimônio,MG,62,49,0,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,6
ANTONIO CARLOS,420120,Antimônio,SC,15,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
ANTONIO DIAS,310300,Antimônio,MG,5,0,0,0,3,2,5,1,0.4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
ANTONIO GONCALVES,290180,Antimônio,BA,5,5,0,0,0,0,0,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2
ANTONIO JOAO,500090,Antimônio,MS,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
ANTONIO OLINTO,410130,Antimônio,PR,52,1,30,20,1,0,1,0.0196078431372549,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
ANTONIO PRADO,430080,Antimônio,RS,210,0,202,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,12
APARECIDA D'OESTE,350260,Antimônio,SP,26,6,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
APARECIDA DE GOIANIA,520140,Antimônio,GO,150,39,38,20,52,1,53,0.4774774774774775,0.009009009009009009,1,4,5,0,0,5,1,4,4,8,5,14,263,37,351
APARECIDA DO RIO DOCE,520145,Antimônio,GO,6,0,2,1,3,0,3,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
APARECIDA DO TABOADO,500100,Antimônio,MS,11,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,24,0,26
APIAI,350270,Antimônio,SP,228,62,29,99,38,0,38,0.2289156626506024,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,11
APORE,520150,Antimônio,GO,6,0,1,2,3,0,3,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
APUAREMA,290195,Antimônio,BA,12,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
APUCARANA,410140,Antimônio,PR,65,0,31,34,0,0,0,0,0,0,2,0,0,0,5,0,1,1,0,1,0,58,5,73
AQUIDAUANA,500110,Antimônio,MS,53,2,42,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,1,7
ARACAI,310320,Antimônio,MG,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
ARACAJU,280030,Antimônio,SE,3,2,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,3,0,0,1,200,19,227
ARACARIGUAMA,350275,Antimônio,SP,18,9,3,6,0,0,0,0,0,0,2,4,0,0,2,0,0,0,0,1,5,15,5,34
ARACATU,290200,Antimônio,BA,6,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARACI,290210,Antimônio,BA,2,2,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,1,0,0,0,3,2,6
ARACRUZ,320060,Antimônio,ES,41,0,0,37,4,0,4,0.0975609756097561,0,0,4,1,0,0,1,0,0,0,1,0,0,103,12,122
ARACU,520160,Antimônio,GO,7,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
ARAGARCAS,520170,Antimônio,GO,5,1,1,2,1,0,1,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,6
ARAGOIANIA,520180,Antimônio,GO,25,8,3,2,12,0,12,0.7058823529411765,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3
ARAGUAINA,170210,Antimônio,TO,52,0,39,13,0,0,0,0,0,0,0,0,0,0,1,0,0,3,7,1,2,56,6,76
ARAGUANA,170215,Antimônio,TO,9,0,8,0,1,0,1,0.1111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
ARAGUAPAZ,520215,Antimônio,GO,14,1,5,5,3,0,3,0.23076923076923078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARAL MOREIRA,500124,Antimônio,MS,40,0,38,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
ARAMARI,290220,Antimônio,BA,5,5,0,0,0,0,0,NA,NA,0,0,0,0,0,1,0,0,1,0,0,0,1,0,3
ARAMBARE,430085,Antimônio,RS,14,0,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
ARANDU,350310,Antimônio,SP,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
ARANTINA,310360,Antimônio,MG,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARAPEI,350315,Antimônio,SP,32,0,18,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARAPIRACA,270030,Antimônio,AL,7,0,0,3,4,0,4,0.5714285714285714,0,0,0,0,0,0,0,0,1,0,0,1,2,32,4,40
ARAPOEMA,170230,Antimônio,TO,16,0,4,11,1,0,1,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARAPONGA,310370,Antimônio,MG,16,7,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARAPONGAS,410150,Antimônio,PR,50,0,29,21,0,0,0,0,0,0,1,0,0,0,0,0,1,1,3,1,0,68,4,79
ARAPOTI,410160,Antimônio,PR,85,0,44,41,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,28,4,35
ARAPUA,410165,Antimônio,PR,17,0,10,6,1,0,1,0.058823529411764705,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
ARAQUARI,420130,Antimônio,SC,17,0,0,9,8,0,8,0.47058823529411764,0,0,0,1,0,0,2,0,0,0,0,0,11,162,8,184
ARARUAMA,330020,Antimônio,RJ,42,2,2,27,11,0,11,275,0,0,0,2,0,0,1,0,0,0,0,0,1,32,6,42
ARARUNA,410170,Antimônio,PR,48,0,30,18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,37,0,38
ARATACA,290225,Antimônio,BA,20,8,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
ARATIBA,430090,Antimônio,RS,48,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
ARATUIPE,290230,Antimônio,BA,11,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
ARAUCARIA,410180,Antimônio,PR,60,1,30,29,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,5,280,12,301
ARAXA,310400,Antimônio,MG,12,6,4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,169,3,175
ARCEBURGO,310410,Antimônio,MG,18,14,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,7
ARCO-IRIS,350335,Antimônio,SP,20,7,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
ARCOS,310420,Antimônio,MG,24,22,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,62,1,67
AREALVA,350340,Antimônio,SP,111,48,16,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
AREIOPOLIS,350360,Antimônio,SP,23,15,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
ARENOPOLIS,520235,Antimônio,GO,36,6,18,3,8,1,9,0.3,0.03333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARIRANHA DO IVAI,410185,Antimônio,PR,19,0,11,7,1,0,1,0.05263157894736842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMAZEM,420150,Antimônio,SC,57,3,10,38,6,0,6,0.1111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5
ARRAIAS,170240,Antimônio,TO,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
ARROIO DO MEIO,430100,Antimônio,RS,56,3,50,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,23,1,26
ARROIO DO PADRE,430107,Antimônio,RS,1,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARROIO DO TIGRE,430120,Antimônio,RS,66,8,42,13,3,0,3,0.05172413793103448,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
ARROIO DOS RATOS,430110,Antimônio,RS,42,8,30,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,2,10
ARROIO GRANDE,430130,Antimônio,RS,31,0,23,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,16
ARROIO TRINTA,420160,Antimônio,SC,19,3,5,10,1,0,1,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARUANA,520250,Antimônio,GO,24,9,5,3,7,0,7,0.4666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARVOREZINHA,430140,Antimônio,RS,109,0,98,10,0,1,1,0.009174311926605505,0.009174311926605505,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
ASCURRA,420170,Antimônio,SC,20,0,2,17,1,0,1,0.05,0,0,0,0,0,0,1,0,0,0,0,0,0,17,2,20
ASPASIA,350395,Antimônio,SP,22,6,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
ASSAI,410190,Antimônio,PR,35,0,20,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1,25
ASSIS,350400,Antimônio,SP,23,9,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,53,3,57
ASSIS CHATEAUBRIAND,410200,Antimônio,PR,159,1,76,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,4,24
ASTOLFO DUTRA,310460,Antimônio,MG,12,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
ASTORGA,410210,Antimônio,PR,95,8,47,8,32,0,32,0.367816091954023,0,0,0,0,0,0,0,0,0,0,0,1,0,19,5,25
ATALAIA,410220,Antimônio,PR,18,0,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
ATALANTA,420180,Antimônio,SC,19,0,5,13,0,1,1,0.05263157894736842,0.05263157894736842,0,0,0,0,0,0,0,0,0,0,0,0,13,0,13
ATALEIA,310470,Antimônio,MG,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
ATILIO VIVACQUA,320070,Antimônio,ES,17,1,0,14,1,1,2,125,0.0625,0,0,0,0,0,0,0,0,0,0,0,1,10,0,11
AUGUSTINOPOLIS,170255,Antimônio,TO,21,0,6,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
