municipio,codigo_ibge,parâmetro,uf,Total de testes substâncias em geral para cada linha - incluindo MENOR_LQ,Total de inconsistentes,Total de Consistentes não detectados,Total de parâmetros com MENOR_LQ,Total de Consistentes detectados Abaixo do VMP,Total de Consistentes detectados Acima do VMP,Total_Detectados,prop1,prop2,cnae_729404,cnae_729405,cnae_1510600,cnae_1610205,cnae_2019399,cnae_2071100,cnae_2093200,cnae_2412100,cnae_2423702,cnae_2449199,cnae_2539002
ALTO ALEGRE,430055,Cromo,RS,22,2,18,1,1,0,1,0.05,0,0,0,0,0,0,0,0,0,0,0,0
ALTO HORIZONTE,520055,Cromo,GO,6,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALTO JEQUITIBA,315350,Cromo,MG,16,2,8,1,5,0,5,0.35714285714285715,0,0,0,0,0,0,0,0,0,0,0,0
ALTO PARAISO,412862,Cromo,PR,40,6,8,21,5,0,5,0.14705882352941177,0,0,0,0,0,0,0,0,0,0,0,0
ALTO PARAISO DE GOIAS,520060,Cromo,GO,22,15,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALTO PARANA,410060,Cromo,PR,46,1,27,18,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
ALTO PIQUIRI,410070,Cromo,PR,67,2,23,41,1,0,1,0.015384615384615385,0,0,0,1,0,0,0,0,0,0,0,0
ALTO RIO DOCE,310210,Cromo,MG,53,50,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALTONIA,410050,Cromo,PR,59,0,25,34,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
ALUMINIO,350115,Cromo,SP,66,24,13,26,3,0,3,0.07142857142857142,0,0,0,0,0,0,5,0,0,0,1,1
ALVARENGA,310220,Cromo,MG,4,1,0,0,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
ALVARES MACHADO,350130,Cromo,SP,43,19,2,1,20,1,21,0.875,0.041666666666666664,0,0,2,0,0,0,0,0,0,0,0
ALVARO DE CARVALHO,350140,Cromo,SP,17,4,5,6,2,0,2,0.15384615384615385,0,0,0,0,0,0,0,0,0,0,0,0
ALVINLANDIA,350150,Cromo,SP,26,6,0,4,16,0,16,0.8,0,0,0,0,0,0,0,0,0,0,0,0
ALVINOPOLIS,310230,Cromo,MG,20,1,13,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ALVORADA,170070,Cromo,TO,14,1,0,11,2,0,2,0.15384615384615385,0,0,0,0,0,0,0,0,0,0,0,0
ALVORADA,430060,Cromo,RS,36,0,30,5,1,0,1,0.027777777777777776,0,0,0,1,0,0,5,2,0,1,1,4
ALVORADA DE MINAS,310240,Cromo,MG,1,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
ALVORADA DO NORTE,520080,Cromo,GO,32,8,12,7,4,1,5,0.20833333333333334,0.041666666666666664,0,0,0,0,0,0,0,0,0,0,0
AMAMBAI,500060,Cromo,MS,13,6,0,6,1,0,1,0.14285714285714285,0,0,0,8,0,0,0,0,0,0,1,0
AMAPORA,410090,Cromo,PR,20,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMARAL FERRADOR,430063,Cromo,RS,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMARALINA,520082,Cromo,GO,3,2,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
AMARGOSA,290100,Cromo,BA,16,6,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
AMELIA RODRIGUES,290110,Cromo,BA,14,7,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
AMERICANO DO BRASIL,520085,Cromo,GO,20,6,11,1,2,0,2,0.14285714285714285,0,1,0,0,0,0,0,0,0,0,0,1
AMETISTA DO SUL,430064,Cromo,RS,32,0,30,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AMORINOPOLIS,520090,Cromo,GO,8,5,0,2,1,0,1,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0
AMPARO DO SERRA,310250,Cromo,MG,6,1,3,1,1,0,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0
AMPERE,410100,Cromo,PR,35,0,16,19,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ANAGE,290120,Cromo,BA,4,4,0,0,0,0,0,NA,NA,0,0,0,0,0,1,0,0,0,0,0
ANAHY,410105,Cromo,PR,20,1,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANAPOLIS,520110,Cromo,GO,77,37,14,14,12,0,12,0.3,0,0,0,7,0,1,13,3,0,0,2,3
ANASTACIO,500070,Cromo,MS,8,2,3,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
ANAURILANDIA,500080,Cromo,MS,24,17,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ANCHIETA,320040,Cromo,ES,50,0,14,36,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
ANCHIETA,420080,Cromo,SC,36,0,5,20,11,0,11,0.3055555555555556,0,0,0,1,1,0,0,0,0,0,0,0
ANDARAI,290130,Cromo,BA,13,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANDRADAS,310260,Cromo,MG,26,16,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ANDRELANDIA,310280,Cromo,MG,11,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
ANGATUBA,350220,Cromo,SP,30,4,0,21,5,0,5,0.19230769230769232,0,0,0,0,0,0,0,1,0,0,0,0
ANGELICA,500085,Cromo,MS,38,27,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANGELIM,260100,Cromo,PE,1,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
ANGELINA,420090,Cromo,SC,30,2,0,25,3,0,3,0.10714285714285714,0,0,0,0,0,0,0,0,0,0,0,0
ANGICAL,290140,Cromo,BA,14,6,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANHANGUERA,520120,Cromo,GO,3,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ANHEMBI,350230,Cromo,SP,77,42,11,23,1,0,1,0.02857142857142857,0,0,0,0,0,0,0,0,0,0,0,0
ANHUMAS,350240,Cromo,SP,24,6,0,3,15,0,15,0.8333333333333334,0,0,0,0,0,0,0,0,0,0,0,0
ANICUNS,520130,Cromo,GO,55,18,20,13,4,0,4,0.10810810810810811,0,0,0,4,0,0,0,0,0,0,0,0
ANITA GARIBALDI,420100,Cromo,SC,16,1,2,12,1,0,1,0.06666666666666667,0,0,0,0,1,0,0,0,0,0,0,0
ANTAS,290160,Cromo,BA,16,16,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
ANTONIO CARDOSO,290170,Cromo,BA,11,5,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ANTONIO CARLOS,310290,Cromo,MG,62,49,0,13,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
ANTONIO CARLOS,420120,Cromo,SC,15,1,0,11,3,0,3,0.21428571428571427,0,0,0,0,0,0,0,0,0,0,0,0
ANTONIO DIAS,310300,Cromo,MG,3,0,0,0,3,0,3,1,0,0,0,0,0,0,0,0,3,0,0,0
ANTONIO GONCALVES,290180,Cromo,BA,7,7,0,0,0,0,0,NA,NA,1,0,0,0,0,0,0,0,0,0,0
ANTONIO JOAO,500090,Cromo,MS,9,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANTONIO OLINTO,410130,Cromo,PR,52,2,30,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANTONIO PRADO,430080,Cromo,RS,210,8,202,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
APARECIDA D'OESTE,350260,Cromo,SP,26,8,0,0,17,1,18,1,0.05555555555555555,0,0,0,0,0,0,0,0,0,0,0
APARECIDA DE GOIANIA,520140,Cromo,GO,17,13,4,0,0,0,0,0,0,1,0,6,0,4,40,5,2,2,5,20
APARECIDA DO RIO DOCE,520145,Cromo,GO,6,1,1,2,2,0,2,0.4,0,0,0,0,0,0,0,0,0,0,0,0
APARECIDA DO RIO NEGRO,170110,Cromo,TO,4,0,0,2,2,0,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0
APARECIDA DO TABOADO,500100,Cromo,MS,15,9,1,5,0,0,0,0,0,0,0,2,1,0,3,0,0,0,0,1
APIAI,350270,Cromo,SP,228,61,28,73,66,0,66,0.39520958083832336,0,0,0,0,0,0,0,0,0,0,0,0
APORA,290190,Cromo,BA,1,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
APORE,520150,Cromo,GO,6,1,1,3,1,0,1,0.2,0,0,0,1,0,0,0,0,0,0,0,0
APUAREMA,290195,Cromo,BA,14,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APUCARANA,410140,Cromo,PR,64,0,31,33,0,0,0,0,0,0,0,20,0,2,5,5,0,0,1,1
AQUIDAUANA,500110,Cromo,MS,34,21,0,13,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2
AQUIRAZ,230100,Cromo,CE,1,1,0,0,0,0,0,NA,NA,0,0,1,0,0,1,0,0,0,0,0
ARACAI,310320,Cromo,MG,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARACAJU,280030,Cromo,SE,3,2,0,0,1,0,1,1,0,0,0,3,0,1,10,1,0,0,0,2
ARACARIGUAMA,350275,Cromo,SP,18,8,4,4,2,0,2,0.2,0,0,0,0,0,2,9,2,2,1,1,0
ARACATU,290200,Cromo,BA,8,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARACI,290210,Cromo,BA,3,3,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
ARACOIABA,230120,Cromo,CE,1,1,0,0,0,0,0,NA,NA,0,0,1,0,0,1,0,0,0,0,0
ARACRUZ,320060,Cromo,ES,17,0,0,15,2,0,2,0.11764705882352941,0,0,0,0,0,4,1,1,0,0,0,6
ARACU,520160,Cromo,GO,8,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARAGARCAS,520170,Cromo,GO,5,1,1,2,1,0,1,0.25,0,0,0,0,0,0,0,0,0,0,0,1
ARAGOIANIA,520180,Cromo,GO,25,7,6,9,3,0,3,0.16666666666666666,0,0,0,7,0,0,0,0,0,0,0,0
ARAGOMINAS,170130,Cromo,TO,11,0,0,7,4,0,4,0.36363636363636365,0,0,0,0,0,0,0,0,0,0,0,0
ARAGUACEMA,170190,Cromo,TO,8,0,0,3,5,0,5,0.625,0,0,0,0,0,0,0,0,0,0,0,0
ARAGUACU,170200,Cromo,TO,8,0,0,7,1,0,1,0.125,0,0,0,0,0,0,0,0,0,0,0,0
ARAGUAINA,170210,Cromo,TO,194,0,39,114,41,0,41,0.211340206185567,0,0,1,7,0,0,0,1,0,0,1,3
ARAGUANA,170215,Cromo,TO,18,0,7,8,3,0,3,0.16666666666666666,0,0,0,0,0,0,0,0,0,0,0,0
ARAGUAPAZ,520215,Cromo,GO,12,1,1,7,3,0,3,0.2727272727272727,0,0,0,0,0,0,0,0,0,0,0,0
ARAL MOREIRA,500124,Cromo,MS,32,24,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARAMARI,290220,Cromo,BA,6,6,0,0,0,0,0,NA,NA,0,0,0,0,0,0,1,1,0,0,0
ARAMBARE,430085,Cromo,RS,14,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARANDU,350310,Cromo,SP,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARAPEI,350315,Cromo,SP,32,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARAPIRACA,270030,Cromo,AL,11,0,0,7,4,0,4,0.36363636363636365,0,0,0,3,0,0,4,0,0,0,1,1
ARAPOEMA,170230,Cromo,TO,28,0,4,20,4,0,4,0.14285714285714285,0,0,0,0,0,0,0,0,0,0,0,0
ARAPONGA,310370,Cromo,MG,14,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARAPONGAS,410150,Cromo,PR,50,0,26,24,0,0,0,0,0,0,0,7,0,1,8,0,0,0,1,2
ARAPOTI,410160,Cromo,PR,85,1,45,39,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0
ARAPUA,410165,Cromo,PR,17,0,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARAQUARI,420130,Cromo,SC,47,0,0,32,15,0,15,0.3191489361702128,0,0,0,0,0,0,6,2,0,1,0,22
ARARUAMA,330020,Cromo,RJ,42,7,0,22,13,0,13,0.37142857142857144,0,0,0,0,0,0,1,1,0,0,0,0
ARARUNA,410170,Cromo,PR,47,0,30,17,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2
ARATACA,290225,Cromo,BA,28,12,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARATIBA,430090,Cromo,RS,48,1,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARATUBA,230140,Cromo,CE,1,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
ARATUIPE,290230,Cromo,BA,15,6,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ARAUCARIA,410180,Cromo,PR,60,0,21,37,2,0,2,0.03333333333333333,0,0,0,0,0,2,8,2,0,0,0,19
ARAXA,310400,Cromo,MG,10,4,0,6,0,0,0,0,0,0,0,2,0,1,4,0,1,0,0,4
ARCEBURGO,310410,Cromo,MG,18,14,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
ARCO-IRIS,350335,Cromo,SP,20,6,2,5,7,0,7,0.5,0,0,0,0,0,0,0,0,0,0,0,0
ARCOS,310420,Cromo,MG,25,9,2,0,13,1,14,0.875,0.0625,0,0,0,1,4,1,0,0,0,0,1
AREALVA,350340,Cromo,SP,109,40,8,42,19,0,19,0.2753623188405797,0,0,0,0,1,0,1,0,0,0,0,0
AREIOPOLIS,350360,Cromo,SP,23,15,4,3,1,0,1,0.125,0,0,0,0,0,0,0,0,0,0,0,0
ARENOPOLIS,520235,Cromo,GO,36,5,20,10,1,0,1,0.03225806451612903,0,0,0,0,0,0,0,0,0,0,0,0
ARIRANHA DO IVAI,410185,Cromo,PR,19,1,11,6,1,0,1,0.05555555555555555,0,0,0,0,0,0,0,0,0,0,0,0
ARMAZEM,420150,Cromo,SC,57,0,8,37,12,0,12,0.21052631578947367,0,0,0,0,0,0,0,0,0,0,0,0
ARRAIAS,170240,Cromo,TO,21,2,4,14,1,0,1,0.05263157894736842,0,0,0,0,0,0,0,0,0,0,0,0
ARROIO DO MEIO,430100,Cromo,RS,58,4,27,15,12,0,12,0.2222222222222222,0,0,0,5,0,1,1,0,0,0,0,1
ARROIO DO PADRE,430107,Cromo,RS,2,2,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
ARROIO DO TIGRE,430120,Cromo,RS,67,8,54,2,3,0,3,0.05084745762711865,0,0,0,0,0,0,0,0,0,0,0,0
ARROIO DOS RATOS,430110,Cromo,RS,43,8,28,6,1,0,1,0.02857142857142857,0,0,0,1,0,0,0,0,0,0,0,0
ARROIO GRANDE,430130,Cromo,RS,48,0,40,3,5,0,5,0.10416666666666667,0,0,0,1,0,0,0,0,0,0,0,0
ARROIO TRINTA,420160,Cromo,SC,18,1,2,13,2,0,2,0.11764705882352941,0,0,0,0,0,0,0,0,0,0,0,0
ARUANA,520250,Cromo,GO,22,9,1,4,8,0,8,0.6153846153846154,0,0,0,0,0,0,0,0,0,0,0,0
ARVOREZINHA,430140,Cromo,RS,114,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASCURRA,420170,Cromo,SC,20,0,3,12,5,0,5,0.25,0,0,0,0,0,0,0,1,0,0,0,2
ASPASIA,350395,Cromo,SP,23,6,0,2,14,1,15,0.8823529411764706,0.058823529411764705,0,0,0,0,0,0,0,0,0,0,0
ASSAI,410190,Cromo,PR,34,0,20,14,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1
ASSIS,350400,Cromo,SP,23,7,4,9,3,0,3,0.1875,0,0,0,0,0,0,2,0,0,0,0,0
ASSIS CHATEAUBRIAND,410200,Cromo,PR,157,0,64,93,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0
ASTOLFO DUTRA,310460,Cromo,MG,11,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASTORGA,410210,Cromo,PR,93,7,33,20,33,0,33,0.38372093023255816,0,0,0,0,1,0,1,0,0,0,1,2
ATALAIA,270040,Cromo,AL,119,62,0,57,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0
ATALAIA,410220,Cromo,PR,18,0,6,12,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
ATALANTA,420180,Cromo,SC,19,0,3,13,3,0,3,0.15789473684210525,0,0,0,0,0,0,0,0,0,0,0,0
ATALEIA,310470,Cromo,MG,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATILIO VIVACQUA,320070,Cromo,ES,17,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AUGUSTINOPOLIS,170255,Cromo,TO,47,8,12,25,2,0,2,0.05128205128205128,0,0,0,0,0,0,0,0,0,0,0,0
AUGUSTO DE LIMA,310480,Cromo,MG,14,5,0,8,1,0,1,0.1111111111111111,0,0,0,0,0,0,0,0,0,0,0,0
AUREA,430155,Cromo,RS,35,1,34,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
AURELINO LEAL,290240,Cromo,BA,27,10,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AURIFLAMA,350420,Cromo,SP,15,0,2,10,1,2,3,0.2,0.13333333333333333,0,0,1,0,0,0,0,0,0,0,0
AURILANDIA,520260,Cromo,GO,14,6,2,4,2,0,2,0.25,0,0,0,0,0,0,0,0,0,0,0,0
AURORA DO TOCANTINS,170270,Cromo,TO,10,0,0,7,3,0,3,0.3,0,0,0,0,0,0,0,0,0,0,0,0
AVAI,350430,Cromo,SP,36,17,0,17,2,0,2,0.10526315789473684,0,0,0,0,0,0,0,0,0,0,0,0
AVARE,350450,Cromo,SP,54,18,0,32,4,0,4,0.1111111111111111,0,0,0,2,0,0,1,1,0,0,1,1
AVELINOPOLIS,520280,Cromo,GO,14,3,5,5,1,0,1,0.09090909090909091,0,0,0,0,0,0,0,0,0,0,0,0
BABACULANDIA,170300,Cromo,TO,30,0,4,24,2,0,2,0.06666666666666667,0,0,0,0,0,0,0,0,0,0,0,0
BAIANOPOLIS,290250,Cromo,BA,14,6,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
BALBINOS,350470,Cromo,SP,23,1,0,18,4,0,4,0.18181818181818182,0,0,0,0,0,0,0,0,0,0,0,0
BALDIM,310500,Cromo,MG,4,4,0,0,0,0,0,NA,NA,0,0,0,0,0,1,0,0,0,0,0
BALIZA,520310,Cromo,GO,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
