municipio,codigo_ibge,parâmetro,uf,Total de testes substâncias em geral para cada linha - incluindo MENOR_LQ,Total de inconsistentes,Total de Consistentes não detectados,Total de parâmetros com MENOR_LQ,Total de Consistentes detectados Abaixo do VMP,Total de Consistentes detectados Acima do VMP,Total_Detectados,prop1,prop2,cnae_729403,cnae_1043100,cnae_2019399,cnae_2093200,cnae_2094100,cnae_2423702,cnae_2449199,cnae_2452100,cnae_2539001,cnae_2539002,cnae_2721000,cnae_2722801,cnae_2722802,cnae_3211603,cnae_3250706,cnae_3313902
ALTO HORIZONTE,520055,Níquel,GO,5,1,1,2,1,0,1,0.25,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
ALTO JEQUITIBA,315350,Níquel,MG,18,2,10,1,5,0,5,0.3125,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0
ALTO PARAISO,412862,Níquel,PR,40,0,19,21,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
ALTO PARAISO DE GOIAS,520060,Níquel,GO,20,5,3,4,8,0,8,0.5333333333333333,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ALTO PARANA,410060,Níquel,PR,45,0,19,26,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0
ALTO PIQUIRI,410070,Níquel,PR,67,0,33,34,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
ALTO RIO DOCE,310210,Níquel,MG,49,46,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
ALTONIA,410050,Níquel,PR,59,0,22,35,2,0,2,0.03389830508474576,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,1,0
ALUMINIO,350115,Níquel,SP,73,29,11,26,7,0,7,0.1590909090909091,0,0,0,0,0,0,0,1,1,4,1,0,0,0,0,0,0
ALVARENGA,310220,Níquel,MG,4,0,0,0,4,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALVARES MACHADO,350130,Níquel,SP,33,9,5,14,5,0,5,0.20833333333333334,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
ALVARO DE CARVALHO,350140,Níquel,SP,13,4,3,3,3,0,3,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALVINLANDIA,350150,Níquel,SP,18,6,0,7,5,0,5,0.4166666666666667,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
ALVINOPOLIS,310230,Níquel,MG,20,0,14,6,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,1,0
ALVORADA,170070,Níquel,TO,5,0,0,4,1,0,1,0.2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0
ALVORADA,430060,Níquel,RS,36,0,35,1,0,0,0,0,0,0,0,0,2,0,1,1,5,94,4,2,0,0,0,2,2
ALVORADA DE MINAS,310240,Níquel,MG,1,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALVORADA DO NORTE,520080,Níquel,GO,32,5,10,4,12,1,13,0.48148148148148145,0.037037037037037035,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
AMAMBAI,500060,Níquel,MS,14,1,9,4,0,0,0,0,0,0,0,0,0,0,0,1,0,13,0,0,0,0,0,0,0
AMAPORA,410090,Níquel,PR,20,0,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
AMARAL FERRADOR,430063,Níquel,RS,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
AMARALINA,520082,Níquel,GO,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
AMARGOSA,290100,Níquel,BA,16,7,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
AMELIA RODRIGUES,290110,Níquel,BA,14,9,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
AMERICANO DO BRASIL,520085,Níquel,GO,20,3,6,3,8,0,8,0.47058823529411764,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
AMETISTA DO SUL,430064,Níquel,RS,32,0,31,1,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,1,0
AMORINOPOLIS,520090,Níquel,GO,7,0,3,1,3,0,3,0.42857142857142855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMPARO DO SERRA,310250,Níquel,MG,5,1,3,0,1,0,1,0.25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
AMPERE,410100,Níquel,PR,35,0,16,19,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,2,0
ANAGE,290120,Níquel,BA,4,4,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0
ANAHY,410105,Níquel,PR,20,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0
ANAPOLIS,520110,Níquel,GO,74,34,16,3,21,0,21,0.525,0,0,3,1,3,0,0,2,6,206,3,0,0,0,0,24,1
ANASTACIO,500070,Níquel,MS,15,1,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,1
ANAURILANDIA,500080,Níquel,MS,28,1,9,18,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
ANCHIETA,320040,Níquel,ES,30,0,9,21,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0,0,0,0,0,0
ANCHIETA,420080,Níquel,SC,36,0,10,24,2,0,2,0.05555555555555555,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ANDARAI,290130,Níquel,BA,12,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ANDRADAS,310260,Níquel,MG,26,16,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,11,0,0,0,0,0,1,0
ANDRELANDIA,310280,Níquel,MG,11,3,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,1,0
ANGATUBA,350220,Níquel,SP,23,4,0,16,3,0,3,0.15789473684210525,0,0,0,0,1,0,0,0,0,13,0,0,0,0,0,0,0
ANGELICA,500085,Níquel,MS,42,3,13,26,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
ANGELIM,260100,Níquel,PE,2,2,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ANGELINA,420090,Níquel,SC,30,2,1,26,1,0,1,0.03571428571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANGICAL,290140,Níquel,BA,15,6,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ANHANGUERA,520120,Níquel,GO,3,1,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ANHEMBI,350230,Níquel,SP,79,46,11,13,9,0,9,0.2727272727272727,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ANHUMAS,350240,Níquel,SP,19,4,3,7,5,0,5,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANICUNS,520130,Níquel,GO,55,11,12,11,21,0,21,0.4772727272727273,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0
ANITA GARIBALDI,420100,Níquel,SC,16,0,4,11,1,0,1,0.0625,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
ANTAS,290160,Níquel,BA,16,16,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANTONIO CARDOSO,290170,Níquel,BA,11,5,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ANTONIO CARLOS,310290,Níquel,MG,49,49,0,0,0,0,0,NA,NA,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0
ANTONIO CARLOS,420120,Níquel,SC,15,1,0,13,1,0,1,0.07142857142857142,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
ANTONIO DIAS,310300,Níquel,MG,5,0,0,2,3,0,3,0.6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
ANTONIO GONCALVES,290180,Níquel,BA,7,7,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
ANTONIO JOAO,500090,Níquel,MS,11,2,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
ANTONIO OLINTO,410130,Níquel,PR,52,1,30,20,1,0,1,0.0196078431372549,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
ANTONIO PRADO,430080,Níquel,RS,210,0,208,2,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,1,0
APARECIDA D'OESTE,350260,Níquel,SP,26,6,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
APARECIDA DE GOIANIA,520140,Níquel,GO,36,9,3,0,24,0,24,0.8888888888888888,0,0,0,4,5,1,2,5,14,263,20,0,0,0,0,16,2
APARECIDA DO RIO DOCE,520145,Níquel,GO,6,1,1,2,2,0,2,0.4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
APARECIDA DO TABOADO,500100,Níquel,MS,11,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1,0,0,0,0,3,0
APIAI,350270,Níquel,SP,191,62,19,56,54,0,54,0.4186046511627907,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0
APORE,520150,Níquel,GO,5,0,1,0,4,0,4,0.8,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
APUAREMA,290195,Níquel,BA,16,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
APUCARANA,410140,Níquel,PR,64,0,30,34,0,0,0,0,0,0,0,2,5,0,0,1,0,58,1,0,6,0,0,2,1
AQUIDAUANA,500110,Níquel,MS,50,2,25,23,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,1,0
AQUIRAZ,230100,Níquel,CE,1,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,12,0,0,0,0,0,2,0
ARACAI,310320,Níquel,MG,5,1,3,0,1,0,1,0.25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ARACAJU,280030,Níquel,SE,3,2,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,200,2,0,1,0,0,24,3
ARACARIGUAMA,350275,Níquel,SP,18,8,0,7,3,0,3,0.3,0,0,0,2,2,0,1,1,5,15,0,0,0,0,0,0,0
ARACATU,290200,Níquel,BA,8,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARACI,290210,Níquel,BA,3,3,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0
ARACOIABA,230120,Níquel,CE,1,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
ARACRUZ,320060,Níquel,ES,11,0,0,9,2,0,2,0.18181818181818182,0,0,0,4,1,0,0,0,0,103,6,0,0,0,0,2,0
ARACU,520160,Níquel,GO,8,6,0,1,1,0,1,0.5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
ARAGARCAS,520170,Níquel,GO,4,0,1,2,1,0,1,0.25,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0
ARAGOIANIA,520180,Níquel,GO,23,4,5,0,14,0,14,0.7368421052631579,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
ARAGUAINA,170210,Níquel,TO,160,0,39,105,16,0,16,0.1,0,0,0,0,1,0,0,1,2,56,3,0,2,0,0,11,1
ARAGUANA,170215,Níquel,TO,27,0,8,13,6,0,6,0.2222222222222222,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ARAGUAPAZ,520215,Níquel,GO,11,1,1,4,5,0,5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARAL MOREIRA,500124,Níquel,MS,37,4,27,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
ARAMARI,290220,Níquel,BA,6,6,0,0,0,0,0,NA,NA,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
ARAMBARE,430085,Níquel,RS,14,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
ARANDU,350310,Níquel,SP,21,4,1,15,1,0,1,0.058823529411764705,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ARAPEI,350315,Níquel,SP,32,0,11,19,2,0,2,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARAPIRACA,270030,Níquel,AL,7,0,0,4,3,0,3,0.42857142857142855,0,0,0,0,0,0,0,1,2,32,1,0,0,0,0,7,0
ARAPOEMA,170230,Níquel,TO,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARAPONGA,310370,Níquel,MG,10,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARAPONGAS,410150,Níquel,PR,50,0,29,21,0,0,0,0,0,0,0,1,0,0,0,1,0,68,2,0,0,0,0,7,0
ARAPOTI,410160,Níquel,PR,85,0,43,41,1,0,1,0.011764705882352941,0,0,0,2,1,0,0,0,0,28,0,0,0,0,0,1,0
ARAPUA,410165,Níquel,PR,17,0,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
ARAQUARI,420130,Níquel,SC,31,0,0,19,12,0,12,0.3870967741935484,0,0,0,0,2,0,1,0,11,162,22,0,0,0,0,1,1
ARARENDA,230125,Níquel,CE,1,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ARARUAMA,330020,Níquel,RJ,42,7,1,25,9,0,9,0.2571428571428571,0,0,0,0,1,0,0,0,1,32,0,0,0,0,0,1,0
ARARUNA,410170,Níquel,PR,48,0,30,18,0,0,0,0,0,0,0,0,1,0,0,0,0,37,2,0,0,0,0,0,0
ARATACA,290225,Níquel,BA,28,8,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARATIBA,430090,Níquel,RS,48,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
ARATUBA,230140,Níquel,CE,1,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARATUIPE,290230,Níquel,BA,15,6,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
ARAUCARIA,410180,Níquel,PR,60,0,30,28,2,0,2,0.03333333333333333,0,0,0,2,2,0,0,0,5,280,19,0,1,0,1,3,3
ARAXA,310400,Níquel,MG,10,4,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,169,4,0,0,0,0,6,0
ARCEBURGO,310410,Níquel,MG,18,14,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0
ARCO-IRIS,350335,Níquel,SP,18,4,4,9,1,0,1,0.07142857142857142,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ARCOS,310420,Níquel,MG,25,9,2,0,12,2,14,0.875,0.125,0,0,4,0,0,0,0,0,62,1,0,0,0,0,1,0
AREALVA,350340,Níquel,SP,110,46,14,40,10,0,10,0.15625,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
